approval_item_id,release_item_id,object_type,doc_number,title,required_steps,approver_roles,human_decision,blocking_if_unresolved,required_evidence
APP-001,REL-001,candidate_manual,XZTC/SC,质量手册（第五版候选稿）,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-039,REL-039,numbered_attachment_form_pending,XZTC/CX-05-02-2022,仪器设备计量溯源结果确认表,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-040,REL-040,candidate_record_template_document,JL-4.1-01,公正性风险识别与处置记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-041,REL-041,candidate_record_template_document,JL-4.2-01,保密承诺与权限确认记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-042,REL-042,candidate_record_template_document,JL-5-01,岗位职责与授权确认表,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-043,REL-043,candidate_record_template_document,JL-6.2-01,人员能力确认与授权记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-044,REL-044,candidate_record_template_document,JL-6.3-01,环境条件监控与异常处置记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-045,REL-045,candidate_record_template_document,JL-6.4-01,设备状态与期间核查记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-046,REL-046,candidate_record_template_document,JL-6.5-01,计量溯源结果确认记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-047,REL-047,candidate_record_template_document,JL-6.6-01,外部服务与供应品评价记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-048,REL-048,candidate_record_template_document,JL-7.1-01,合同评审记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-049,REL-049,candidate_record_template_document,JL-7.2-01,方法验证/确认记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-050,REL-050,candidate_record_template_document,JL-7.3-01,抽样条件启用评审记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-051,REL-051,candidate_record_template_document,JL-7.4-01,样品接收与异常处置记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-052,REL-052,candidate_record_template_document,JL-7.5-01,技术记录更正记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-053,REL-053,candidate_record_template_document,JL-7.6-01,测量不确定度适用性评审记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-054,REL-054,candidate_record_template_document,JL-7.7-01,结果有效性监控计划与评价记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-055,REL-055,candidate_record_template_document,JL-7.8-01,报告复核与授权签发记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-056,REL-056,candidate_record_template_document,JL-7.9-01,投诉处理记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-057,REL-057,candidate_record_template_document,JL-7.10-01,不符合工作影响评价与恢复授权记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-058,REL-058,candidate_record_template_document,JL-7.11-01,电子表格/软件适用性确认记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-059,REL-059,candidate_record_template_document,JL-8.3-01,文件修订评审与发布记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
APP-060,REL-060,candidate_record_template_document,JL-8.4-01,记录归档与借阅记录,编制复核；技术复核；质量负责人审核；最高管理者或授权岗位批准；受控发布登记,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,pending,yes,审核意见、批准记录、发布日期、生效日期、发放范围、旧版处置记录
