target_table,structured_doc_number,stable_key,section_number,title,block_type,sort_order,procedure_doc_numbers,attachment_form_doc_numbers,record_template_numbers,link_relation_type,link_confidence,source_locator
qms_document_blocks,XZTC/SC,manual_v5_candidate_4_1,4.1,公正性,control_requirement,1,XZTC/CX-07-02-2022；XZTC/CX-07-2022；XZTC/CX-32-2022,,JL-4.1-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_4_2,4.2,保密性,control_requirement,2,XZTC/CX-06-2022；XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,,JL-4.2-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_5,5,结构要求,control_requirement,3,XZTC/CX-01-02-2022；XZTC/CX-13-2022；XZTC/CX-32-2022,,JL-5-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_6_1,6.1,资源总则,control_requirement,4,XZTC/CX-01-02-2022；XZTC/CX-02-2022；XZTC/CX-03-2022；XZTC/CX-11-2022,,JL-5-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_6_2,6.2,人员,control_requirement,5,XZTC/CX-01-02-2022；XZTC/CX-01-2022；XZTC/CX-31-2022,,JL-6.2-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_6_3,6.3,设施环境,control_requirement,6,XZTC/CX-02-2022；XZTC/CX-31-2022；XZTC/CX-33-2022,,JL-6.3-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_6_4,6.4,设备,control_requirement,7,XZTC/CX-03-02-2022；XZTC/CX-03-2022；XZTC/CX-04-2022,XZTC/CX-05-02-2022,JL-6.4-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_6_5,6.5,计量溯源性,control_requirement,8,XZTC/CX-03-02-2022；XZTC/CX-05-2022,XZTC/CX-05-02-2022,JL-6.5-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_6_6,6.6,外部产品和服务,control_requirement,9,XZTC/CX-11-2022；XZTC/CX-19-2022；XZTC/CX-32-2022,,JL-6.6-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_7_1,7.1,合同评审,control_requirement,10,XZTC/CX-08-2022；XZTC/CX-09-2022；XZTC/CX-12-2022,,JL-7.1-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_7_2,7.2,方法,control_requirement,11,XZTC/CX-22-2022；XZTC/CX-23-2022；XZTC/CX-24-2022；XZTC/CX-27-2022,,JL-7.2-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_7_3,7.3,抽样,control_requirement,12,XZTC/CX-09-2022；XZTC/CX-28-2022；XZTC/CX-35-2022,,JL-7.3-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_7_4,7.4,样品处置,control_requirement,13,XZTC/CX-06-2022；XZTC/CX-25-2022；XZTC/CX-28-2022,,JL-7.4-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_7_5,7.5,技术记录,control_requirement,14,XZTC/CX-19-2022；XZTC/CX-25-2022；XZTC/CX-26-2022,,JL-7.5-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_7_6,7.6,测量不确定度,control_requirement,15,XZTC/CX-22-2022；XZTC/CX-27-2022；XZTC/CX-30-2022,,JL-7.6-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_7_7,7.7,结果有效性,control_requirement,16,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-30-2022；XZTC/CX-34-2022,,JL-7.7-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_7_8,7.8,报告结果,control_requirement,17,XZTC/CX-06-2022；XZTC/CX-26-2022；XZTC/CX-29-2022,,JL-7.8-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_7_9,7.9,投诉,control_requirement,18,XZTC/CX-14-2022；XZTC/CX-15-2022；XZTC/CX-16-2022,,JL-7.9-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_7_10,7.10,不符合工作,control_requirement,19,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-32-2022,,JL-7.10-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_7_11,7.11,数据控制与信息管理,control_requirement,20,XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,,JL-7.11-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_8_1,8.1,管理体系方式,control_requirement,21,XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-20-2022；XZTC/CX-21-2022,,JL-8.8-01；JL-8.9-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_8_2,8.2,管理体系文件,control_requirement,22,XZTC/CX-08-2022；XZTC/CX-13-2022；XZTC/CX-19-2022,,JL-8.3-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_8_3,8.3,文件控制,control_requirement,23,XZTC/CX-08-2022；XZTC/CX-26-2022,,JL-8.3-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_8_4,8.4,记录控制,control_requirement,24,XZTC/CX-06-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,,JL-8.4-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_8_5,8.5,风险和机遇,control_requirement,25,XZTC/CX-17-2022；XZTC/CX-18-2022；XZTC/CX-32-2022,,JL-8.5-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_8_6,8.6,改进,control_requirement,26,XZTC/CX-12-2022；XZTC/CX-18-2022；XZTC/CX-20-2022；XZTC/CX-21-2022,,JL-8.6-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_8_7,8.7,纠正措施,control_requirement,27,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-20-2022,,JL-8.7-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_8_8,8.8,内部审核,control_requirement,28,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-19-2022；XZTC/CX-20-2022,,JL-8.8-01,implements,review_required,10-质量手册第五版候选稿.md
qms_document_blocks,XZTC/SC,manual_v5_candidate_8_9,8.9,管理评审,control_requirement,29,XZTC/CX-16-2022；XZTC/CX-19-2022；XZTC/CX-20-2022；XZTC/CX-21-2022,,JL-8.9-01,implements,review_required,10-质量手册第五版候选稿.md
