return_item_id,closure_item_id,target_file,target_row_key,proposed_evidence_reference,proposed_evidence_summary,proposed_closure_comment,proposed_reviewer,proposed_review_date,proposed_evidence_status,proposed_signature_status,proposed_handoff_status,ready_for_manual_source_update,not_imported,not_real_record
GCPR-001,GC-0076,governance_closure_workbench/03-证据采集模板.csv,GC-0076,TEST-COMPLETE-RETURN-001,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,ready,completed,completed,yes,yes,yes
GCPR-001,GC-0076,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0076,TEST-COMPLETE-RETURN-002,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,ready,completed,completed,yes,yes,yes
GCPR-002,GC-0133,governance_closure_workbench/03-证据采集模板.csv,GC-0133,TEST-COMPLETE-RETURN-003,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,ready,completed,completed,yes,yes,yes
GCPR-002,GC-0133,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0133,TEST-COMPLETE-RETURN-004,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,ready,completed,completed,yes,yes,yes
GCPR-003,GC-0092,governance_closure_workbench/03-证据采集模板.csv,GC-0092,TEST-COMPLETE-RETURN-005,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,ready,completed,completed,yes,yes,yes
GCPR-003,GC-0092,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0092,TEST-COMPLETE-RETURN-006,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,ready,completed,completed,yes,yes,yes
GCPR-004,GC-0080,governance_closure_workbench/03-证据采集模板.csv,GC-0080,TEST-COMPLETE-RETURN-007,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,ready,completed,completed,yes,yes,yes
GCPR-004,GC-0080,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0080,TEST-COMPLETE-RETURN-008,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,ready,completed,completed,yes,yes,yes
GCPR-005,GC-0083,governance_closure_workbench/03-证据采集模板.csv,GC-0083,TEST-COMPLETE-RETURN-009,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,ready,completed,completed,yes,yes,yes
GCPR-005,GC-0083,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0083,TEST-COMPLETE-RETURN-010,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,ready,completed,completed,yes,yes,yes
