template_code,template_name,field_order,field_key,field_label,field_type,required,field_group,default_value,note,trial_value_present,trial_value,human_confirmation_required,review_focus
JL-4.1-01,公正性风险识别与处置记录,1,record_number,记录编号,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,SIM-JL-4.1-01-20260707-001,yes,候选字段需文件管理员确认
JL-4.1-01,公正性风险识别与处置记录,2,record_name,记录名称,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,公正性风险识别与处置记录,yes,候选字段需文件管理员确认
JL-4.1-01,公正性风险识别与处置记录,3,applicable_clause,适用条款,text,yes,common,4.1、8.5,候选模板通用字段，正式启用前需由文件管理员确认。,yes,4.1、8.5,yes,候选字段需文件管理员确认
JL-4.1-01,公正性风险识别与处置记录,4,related_procedure,关联程序,text,yes,common,XZTC/CX-07-02-2022；XZTC/CX-07-2022；XZTC/CX-17-2022；XZTC/CX-18-2022；XZTC/CX-32-2022,候选模板通用字段，正式启用前需由文件管理员确认。,yes,XZTC/CX-07-02-2022；XZTC/CX-07-2022；XZTC/CX-17-2022；XZTC/CX-18-2022；XZTC/CX-32-2022,yes,候选字段需文件管理员确认
JL-4.1-01,公正性风险识别与处置记录,5,responsible_position,填写责任,text,yes,common,质量负责人,候选模板通用字段，正式启用前需由文件管理员确认。,yes,质量负责人,yes,候选字段需文件管理员确认
JL-4.1-01,公正性风险识别与处置记录,6,trigger_time,形成时机,text,yes,common,年度识别、岗位变化、客户关系变化、投诉或外部压力出现时,候选模板通用字段，正式启用前需由文件管理员确认。,yes,年度识别、岗位变化、客户关系变化、投诉或外部压力出现时,yes,候选字段需文件管理员确认
JL-4.1-01,公正性风险识别与处置记录,7,reviewer,复核/批准,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-4.1-01,公正性风险识别与处置记录,8,storage_location,保存位置,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-4.1-01,公正性风险识别与处置记录,9,retention_period,保存期限,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-4.1-01,公正性风险识别与处置记录,10,confidentiality_level,保密等级,select,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-4.1-01,公正性风险识别与处置记录,11,correction_rule,更正规则,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD,yes,候选字段需文件管理员确认
JL-4.1-01,公正性风险识别与处置记录,12,specific_01_993a520f,风险来源,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：客户与检测人员存在熟人关系，真实运行时应按公正性风险准则核实。,yes,需过程负责人确认字段含义和现用表单一致性
JL-4.1-01,公正性风险识别与处置记录,13,specific_02_e146c853,影响活动,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：样品受理、检测安排、结果复核。,yes,需过程负责人确认字段含义和现用表单一致性
JL-4.1-01,公正性风险识别与处置记录,14,specific_03_a90f1e55,风险等级,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：中，待质量负责人按真实风险准则确认。,yes,需过程负责人确认字段含义和现用表单一致性
JL-4.1-01,公正性风险识别与处置记录,15,specific_04_569b1741,措施,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：相关人员回避、增加独立复核、记录客户沟通。,yes,需过程负责人确认字段含义和现用表单一致性
JL-4.1-01,公正性风险识别与处置记录,16,specific_05_0fe0b81e,责任人,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：质量负责人/相关岗位待确认。,yes,试填值仍为待确认；需过程负责人确认字段含义和现用表单一致性
JL-4.1-01,公正性风险识别与处置记录,17,specific_06_9d33da6a,有效性评价,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：待一个运行周期后评价；本记录仅验证字段可填性。,yes,需过程负责人确认字段含义和现用表单一致性
JL-4.2-01,保密承诺与权限确认记录,1,record_number,记录编号,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,SIM-JL-4.2-01-20260707-001,yes,候选字段需文件管理员确认
JL-4.2-01,保密承诺与权限确认记录,2,record_name,记录名称,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,保密承诺与权限确认记录,yes,候选字段需文件管理员确认
JL-4.2-01,保密承诺与权限确认记录,3,applicable_clause,适用条款,text,yes,common,4.2、8.4,候选模板通用字段，正式启用前需由文件管理员确认。,yes,4.2、8.4,yes,候选字段需文件管理员确认
JL-4.2-01,保密承诺与权限确认记录,4,related_procedure,关联程序,text,yes,common,XZTC/CX-06-2022；XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,候选模板通用字段，正式启用前需由文件管理员确认。,yes,XZTC/CX-06-2022；XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,yes,候选字段需文件管理员确认
JL-4.2-01,保密承诺与权限确认记录,5,responsible_position,填写责任,text,yes,common,文件管理员/质量负责人,候选模板通用字段，正式启用前需由文件管理员确认。,yes,文件管理员/质量负责人,yes,候选字段需文件管理员确认
JL-4.2-01,保密承诺与权限确认记录,6,trigger_time,形成时机,text,yes,common,入职、授权、外部方接触资料前,候选模板通用字段，正式启用前需由文件管理员确认。,yes,入职、授权、外部方接触资料前,yes,候选字段需文件管理员确认
JL-4.2-01,保密承诺与权限确认记录,7,reviewer,复核/批准,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-4.2-01,保密承诺与权限确认记录,8,storage_location,保存位置,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-4.2-01,保密承诺与权限确认记录,9,retention_period,保存期限,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-4.2-01,保密承诺与权限确认记录,10,confidentiality_level,保密等级,select,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-4.2-01,保密承诺与权限确认记录,11,correction_rule,更正规则,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD,yes,候选字段需文件管理员确认
JL-4.2-01,保密承诺与权限确认记录,12,specific_01_0c7bcce8,人员/外部方,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：人员/外部方待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-4.2-01,保密承诺与权限确认记录,13,specific_02_6b489143,接触范围,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：接触范围待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-4.2-01,保密承诺与权限确认记录,14,specific_03_2db5a111,承诺内容,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：承诺内容待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-4.2-01,保密承诺与权限确认记录,15,specific_04_b11a0c75,权限边界,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：权限边界待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-4.2-01,保密承诺与权限确认记录,16,specific_05_a3c5c19f,签署日期,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：签署日期待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-5-01,岗位职责与授权确认表,1,record_number,记录编号,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,SIM-JL-5-01-20260707-001,yes,候选字段需文件管理员确认
JL-5-01,岗位职责与授权确认表,2,record_name,记录名称,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,岗位职责与授权确认表,yes,候选字段需文件管理员确认
JL-5-01,岗位职责与授权确认表,3,applicable_clause,适用条款,text,yes,common,5、6.2,候选模板通用字段，正式启用前需由文件管理员确认。,yes,5、6.2,yes,候选字段需文件管理员确认
JL-5-01,岗位职责与授权确认表,4,related_procedure,关联程序,text,yes,common,XZTC/CX-01-02-2022；XZTC/CX-01-2022；XZTC/CX-13-2022；XZTC/CX-31-2022；XZTC/CX-32-2022,候选模板通用字段，正式启用前需由文件管理员确认。,yes,XZTC/CX-01-02-2022；XZTC/CX-01-2022；XZTC/CX-13-2022；XZTC/CX-31-2022；XZTC/CX-32-2022,yes,候选字段需文件管理员确认
JL-5-01,岗位职责与授权确认表,5,responsible_position,填写责任,text,yes,common,最高管理者/技术负责人,候选模板通用字段，正式启用前需由文件管理员确认。,yes,最高管理者/技术负责人,yes,候选字段需文件管理员确认
JL-5-01,岗位职责与授权确认表,6,trigger_time,形成时机,text,yes,common,岗位任命、授权或变更时,候选模板通用字段，正式启用前需由文件管理员确认。,yes,岗位任命、授权或变更时,yes,候选字段需文件管理员确认
JL-5-01,岗位职责与授权确认表,7,reviewer,复核/批准,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-5-01,岗位职责与授权确认表,8,storage_location,保存位置,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-5-01,岗位职责与授权确认表,9,retention_period,保存期限,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-5-01,岗位职责与授权确认表,10,confidentiality_level,保密等级,select,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-5-01,岗位职责与授权确认表,11,correction_rule,更正规则,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD,yes,候选字段需文件管理员确认
JL-5-01,岗位职责与授权确认表,12,specific_01_f0f3e908,岗位,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：岗位待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-5-01,岗位职责与授权确认表,13,specific_02_db181821,职责,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：职责待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-5-01,岗位职责与授权确认表,14,specific_03_560165a6,权限,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：权限待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
