closure_item_id,source_task_id,execution_batch_id,gate_id,task_group,object_code,object_name,owner_role,source_evidence_file,source_closure_file,downstream_preview,downstream_refresh,route_status,blocks_apply,not_imported,not_real_record
GC-0001,CLAUSE-4.1,GCEB-031,GR-02,manual_clause,CLAUSE-4.1,4.1 公正性,最高管理者/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0002,CLAUSE-4.2,GCEB-031,GR-02,manual_clause,CLAUSE-4.2,4.2 保密性,最高管理者/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0003,CLAUSE-5,GCEB-031,GR-02,manual_clause,CLAUSE-5,5 结构要求,最高管理者/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0004,CLAUSE-6.1,GCEB-056,GR-02,manual_clause,CLAUSE-6.1,6.1 资源总则,质量负责人/相关过程负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0005,CLAUSE-6.2,GCEB-056,GR-02,manual_clause,CLAUSE-6.2,6.2 人员,质量负责人/相关过程负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0006,CLAUSE-6.3,GCEB-056,GR-02,manual_clause,CLAUSE-6.3,6.3 设施环境,质量负责人/相关过程负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0007,CLAUSE-6.4,GCEB-045,GR-02,manual_clause,CLAUSE-6.4,6.4 设备,设备管理员/技术负责人/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0008,CLAUSE-6.5,GCEB-045,GR-02,manual_clause,CLAUSE-6.5,6.5 计量溯源性,设备管理员/技术负责人/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0009,CLAUSE-6.6,GCEB-056,GR-02,manual_clause,CLAUSE-6.6,6.6 外部产品和服务,质量负责人/相关过程负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0010,CLAUSE-7.1,GCEB-013,GR-02,manual_clause,CLAUSE-7.1,7.1 合同评审,技术负责人/相关过程负责人/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0011,CLAUSE-7.2,GCEB-013,GR-02,manual_clause,CLAUSE-7.2,7.2 方法,技术负责人/相关过程负责人/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0012,CLAUSE-7.3,GCEB-013,GR-02,manual_clause,CLAUSE-7.3,7.3 抽样,技术负责人/相关过程负责人/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0013,CLAUSE-7.4,GCEB-013,GR-02,manual_clause,CLAUSE-7.4,7.4 样品处置,技术负责人/相关过程负责人/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0014,CLAUSE-7.5,GCEB-013,GR-02,manual_clause,CLAUSE-7.5,7.5 技术记录,技术负责人/相关过程负责人/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0015,CLAUSE-7.6,GCEB-013,GR-02,manual_clause,CLAUSE-7.6,7.6 测量不确定度,技术负责人/相关过程负责人/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0016,CLAUSE-7.7,GCEB-013,GR-02,manual_clause,CLAUSE-7.7,7.7 结果有效性,技术负责人/相关过程负责人/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0017,CLAUSE-7.8,GCEB-013,GR-02,manual_clause,CLAUSE-7.8,7.8 报告结果,技术负责人/相关过程负责人/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0018,CLAUSE-7.9,GCEB-013,GR-02,manual_clause,CLAUSE-7.9,7.9 投诉,技术负责人/相关过程负责人/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0019,CLAUSE-7.10,GCEB-013,GR-02,manual_clause,CLAUSE-7.10,7.10 不符合工作,技术负责人/相关过程负责人/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0020,CLAUSE-7.11,GCEB-013,GR-02,manual_clause,CLAUSE-7.11,7.11 数据控制与信息管理,技术负责人/相关过程负责人/质量负责人,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0021,CLAUSE-8.1,GCEB-055,GR-02,manual_clause,CLAUSE-8.1,8.1 管理体系方式,质量负责人/文件管理员/最高管理者,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
GC-0022,CLAUSE-8.2,GCEB-055,GR-02,manual_clause,CLAUSE-8.2,8.2 管理体系文件,质量负责人/文件管理员/最高管理者,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,governance_closure_decision_preview,governance_readiness_refresh_preview,ready,no,yes,yes
