trial_marker,generated_at,source_template_csv,template_code,template_name,status,review_status,applicable_clauses,procedure_doc_numbers,responsible_position,trigger_time,field_values_json,missing_human_inputs,markdown_file,import_allowed,review_note
SIMULATED_TRIAL_NOT_REAL_RECORD,2026-07-07T07:03:31,lims_preimport_package/record_form_templates_preimport.csv,JL-4.1-01,公正性风险识别与处置记录,draft,trial_only_pending_human_review,4.1、8.5,XZTC/CX-07-02-2022；XZTC/CX-07-2022；XZTC/CX-17-2022；XZTC/CX-18-2022；XZTC/CX-32-2022,质量负责人,年度识别、岗位变化、客户关系变化、投诉或外部压力出现时,"{""record_number"":""SIM-JL-4.1-01-20260707-001"",""record_name"":""公正性风险识别与处置记录"",""applicable_clause"":""4.1、8.5"",""related_procedure"":""XZTC/CX-07-02-2022；XZTC/CX-07-2022；XZTC/CX-17-2022；XZTC/CX-18-2022；XZTC/CX-32-2022"",""responsible_position"":""质量负责人"",""trigger_time"":""年度识别、岗位变化、客户关系变化、投诉或外部压力出现时"",""reviewer"":""待人工确认"",""storage_location"":""待人工确认"",""retention_period"":""待人工确认"",""confidentiality_level"":""待确认"",""correction_rule"":""保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD"",""specific_01_993a520f"":""模拟：客户与检测人员存在熟人关系，真实运行时应按公正性风险准则核实。"",""specific_02_e146c853"":""模拟：样品受理、检测安排、结果复核。"",""specific_03_a90f1e55"":""模拟：中，待质量负责人按真实风险准则确认。"",""specific_04_569b1741"":""模拟：相关人员回避、增加独立复核、记录客户沟通。"",""specific_05_0fe0b81e"":""模拟：质量负责人/相关岗位待确认。"",""specific_06_9d33da6a"":""模拟：待一个运行周期后评价；本记录仅验证字段可填性。""}",保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,JL-4.1-01-公正性风险识别与处置记录-试填.md,no,模拟试填，不作为真实运行记录，不得导入生产库，不得作为受控记录。
SIMULATED_TRIAL_NOT_REAL_RECORD,2026-07-07T07:03:31,lims_preimport_package/record_form_templates_preimport.csv,JL-4.2-01,保密承诺与权限确认记录,draft,trial_only_pending_human_review,4.2、8.4,XZTC/CX-06-2022；XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,文件管理员/质量负责人,入职、授权、外部方接触资料前,"{""record_number"":""SIM-JL-4.2-01-20260707-001"",""record_name"":""保密承诺与权限确认记录"",""applicable_clause"":""4.2、8.4"",""related_procedure"":""XZTC/CX-06-2022；XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-26-2022"",""responsible_position"":""文件管理员/质量负责人"",""trigger_time"":""入职、授权、外部方接触资料前"",""reviewer"":""待人工确认"",""storage_location"":""待人工确认"",""retention_period"":""待人工确认"",""confidentiality_level"":""待确认"",""correction_rule"":""保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD"",""specific_01_0c7bcce8"":""模拟：人员/外部方待按真实业务填写。"",""specific_02_6b489143"":""模拟：接触范围待按真实业务填写。"",""specific_03_2db5a111"":""模拟：承诺内容待按真实业务填写。"",""specific_04_b11a0c75"":""模拟：权限边界待按真实业务填写。"",""specific_05_a3c5c19f"":""模拟：签署日期待按真实业务填写。""}",保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,JL-4.2-01-保密承诺与权限确认记录-试填.md,no,模拟试填，不作为真实运行记录，不得导入生产库，不得作为受控记录。
SIMULATED_TRIAL_NOT_REAL_RECORD,2026-07-07T07:03:31,lims_preimport_package/record_form_templates_preimport.csv,JL-5-01,岗位职责与授权确认表,draft,trial_only_pending_human_review,5、6.2,XZTC/CX-01-02-2022；XZTC/CX-01-2022；XZTC/CX-13-2022；XZTC/CX-31-2022；XZTC/CX-32-2022,最高管理者/技术负责人,岗位任命、授权或变更时,"{""record_number"":""SIM-JL-5-01-20260707-001"",""record_name"":""岗位职责与授权确认表"",""applicable_clause"":""5、6.2"",""related_procedure"":""XZTC/CX-01-02-2022；XZTC/CX-01-2022；XZTC/CX-13-2022；XZTC/CX-31-2022；XZTC/CX-32-2022"",""responsible_position"":""最高管理者/技术负责人"",""trigger_time"":""岗位任命、授权或变更时"",""reviewer"":""待人工确认"",""storage_location"":""待人工确认"",""retention_period"":""待人工确认"",""confidentiality_level"":""待确认"",""correction_rule"":""保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD"",""specific_01_f0f3e908"":""模拟：岗位待按真实业务填写。"",""specific_02_db181821"":""模拟：职责待按真实业务填写。"",""specific_03_560165a6"":""模拟：权限待按真实业务填写。"",""specific_04_e2b87c04"":""模拟：替代人待按真实业务填写。"",""specific_05_00e778c5"":""模拟：授权范围待按真实业务填写。"",""specific_06_d642f8ef"":""模拟：生效日期待按真实业务填写。""}",保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,JL-5-01-岗位职责与授权确认表-试填.md,no,模拟试填，不作为真实运行记录，不得导入生产库，不得作为受控记录。
SIMULATED_TRIAL_NOT_REAL_RECORD,2026-07-07T07:03:31,lims_preimport_package/record_form_templates_preimport.csv,JL-6.2-01,人员能力确认与授权记录,draft,trial_only_pending_human_review,6.2,XZTC/CX-01-02-2022；XZTC/CX-01-2022；XZTC/CX-31-2022,技术负责人,上岗、扩项、复授权时,"{""record_number"":""SIM-JL-6.2-01-20260707-001"",""record_name"":""人员能力确认与授权记录"",""applicable_clause"":""6.2"",""related_procedure"":""XZTC/CX-01-02-2022；XZTC/CX-01-2022；XZTC/CX-31-2022"",""responsible_position"":""技术负责人"",""trigger_time"":""上岗、扩项、复授权时"",""reviewer"":""待人工确认"",""storage_location"":""待人工确认"",""retention_period"":""待人工确认"",""confidentiality_level"":""待确认"",""correction_rule"":""保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD"",""specific_01_d89b0e09"":""模拟：岗位能力要求待按真实业务填写。"",""specific_02_4640b537"":""模拟：培训待按真实业务填写。"",""specific_03_d0421e5d"":""模拟：考核待按真实业务填写。"",""specific_04_d4408364"":""模拟：监督待按真实业务填写。"",""specific_05_58f06331"":""模拟：授权活动待按真实业务填写。"",""specific_06_222460c0"":""模拟：有效期待按真实业务填写。""}",保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,JL-6.2-01-人员能力确认与授权记录-试填.md,no,模拟试填，不作为真实运行记录，不得导入生产库，不得作为受控记录。
SIMULATED_TRIAL_NOT_REAL_RECORD,2026-07-07T07:03:31,lims_preimport_package/record_form_templates_preimport.csv,JL-6.3-01,环境条件监控与异常处置记录,draft,trial_only_pending_human_review,6.3,XZTC/CX-02-2022；XZTC/CX-31-2022；XZTC/CX-33-2022,检测人员/监督员,每日/每班/方法要求频次及异常时,"{""record_number"":""SIM-JL-6.3-01-20260707-001"",""record_name"":""环境条件监控与异常处置记录"",""applicable_clause"":""6.3"",""related_procedure"":""XZTC/CX-02-2022；XZTC/CX-31-2022；XZTC/CX-33-2022"",""responsible_position"":""检测人员/监督员"",""trigger_time"":""每日/每班/方法要求频次及异常时"",""reviewer"":""待人工确认"",""storage_location"":""待人工确认"",""retention_period"":""待人工确认"",""confidentiality_level"":""待确认"",""correction_rule"":""保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD"",""specific_01_17fc93c9"":""模拟：区域待按真实业务填写。"",""specific_02_72f1cf75"":""模拟：条件待按真实业务填写。"",""specific_03_7b4579f0"":""模拟：限值待按真实业务填写。"",""specific_04_27352490"":""模拟：实测值待按真实业务填写。"",""specific_05_5caf2793"":""模拟：异常待按真实业务填写。"",""specific_06_4f136db2"":""模拟：处置待按真实业务填写。"",""specific_07_b38c92c3"":""模拟：复核待按真实业务填写。""}",保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,JL-6.3-01-环境条件监控与异常处置记录-试填.md,no,模拟试填，不作为真实运行记录，不得导入生产库，不得作为受控记录。
SIMULATED_TRIAL_NOT_REAL_RECORD,2026-07-07T07:03:31,lims_preimport_package/record_form_templates_preimport.csv,JL-6.4-01,设备状态与期间核查记录,draft,trial_only_pending_human_review,6.4、7.7,XZTC/CX-03-02-2022；XZTC/CX-03-2022；XZTC/CX-04-2022；XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-30-2022；XZTC/CX-34-2022,设备管理员,设备使用前、期间核查、异常恢复时,"{""record_number"":""SIM-JL-6.4-01-20260707-001"",""record_name"":""设备状态与期间核查记录"",""applicable_clause"":""6.4、7.7"",""related_procedure"":""XZTC/CX-03-02-2022；XZTC/CX-03-2022；XZTC/CX-04-2022；XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-30-2022；XZTC/CX-34-2022"",""responsible_position"":""设备管理员"",""trigger_time"":""设备使用前、期间核查、异常恢复时"",""reviewer"":""待人工确认"",""storage_location"":""待人工确认"",""retention_period"":""待人工确认"",""confidentiality_level"":""待确认"",""correction_rule"":""保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD"",""specific_01_fb8e101e"":""模拟：设备编号待按真实业务填写。"",""specific_02_aeabd2f4"":""模拟：核查项目待按真实业务填写。"",""specific_03_1a26633d"":""模拟：准则待按真实业务填写。"",""specific_04_0a2c91ce"":""模拟：结果待按真实业务填写。"",""specific_05_32b3f16d"":""模拟：结论待按真实业务填写。"",""specific_06_4f136db2"":""模拟：处置待按真实业务填写。""}",保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,JL-6.4-01-设备状态与期间核查记录-试填.md,no,模拟试填，不作为真实运行记录，不得导入生产库，不得作为受控记录。
SIMULATED_TRIAL_NOT_REAL_RECORD,2026-07-07T07:03:31,lims_preimport_package/record_form_templates_preimport.csv,JL-6.5-01,计量溯源结果确认记录,draft,trial_only_pending_human_review,6.5,XZTC/CX-03-02-2022；XZTC/CX-05-2022,设备管理员/技术负责人,校准/检定证书接收后,"{""record_number"":""SIM-JL-6.5-01-20260707-001"",""record_name"":""计量溯源结果确认记录"",""applicable_clause"":""6.5"",""related_procedure"":""XZTC/CX-03-02-2022；XZTC/CX-05-2022"",""responsible_position"":""设备管理员/技术负责人"",""trigger_time"":""校准/检定证书接收后"",""reviewer"":""待人工确认"",""storage_location"":""待人工确认"",""retention_period"":""待人工确认"",""confidentiality_level"":""待确认"",""correction_rule"":""保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD"",""specific_01_cbdf9846"":""模拟：证书编号待按真实业务填写。"",""specific_02_870b7e1d"":""模拟：校准范围待按真实业务填写。"",""specific_03_91c08f5d"":""模拟：不确定度待按真实业务填写。"",""specific_04_52450362"":""模拟：符合性待按真实业务填写。"",""specific_05_8fb8cac3"":""模拟：使用限制待按真实业务填写。""}",保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,JL-6.5-01-计量溯源结果确认记录-试填.md,no,模拟试填，不作为真实运行记录，不得导入生产库，不得作为受控记录。
SIMULATED_TRIAL_NOT_REAL_RECORD,2026-07-07T07:03:31,lims_preimport_package/record_form_templates_preimport.csv,JL-6.6-01,外部服务与供应品评价记录,draft,trial_only_pending_human_review,6.6,XZTC/CX-11-2022；XZTC/CX-19-2022；XZTC/CX-32-2022,采购/质量负责人,供方准入、采购验收、再评价时,"{""record_number"":""SIM-JL-6.6-01-20260707-001"",""record_name"":""外部服务与供应品评价记录"",""applicable_clause"":""6.6"",""related_procedure"":""XZTC/CX-11-2022；XZTC/CX-19-2022；XZTC/CX-32-2022"",""responsible_position"":""采购/质量负责人"",""trigger_time"":""供方准入、采购验收、再评价时"",""reviewer"":""待人工确认"",""storage_location"":""待人工确认"",""retention_period"":""待人工确认"",""confidentiality_level"":""待确认"",""correction_rule"":""保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD"",""specific_01_51090bea"":""模拟：供方待按真实业务填写。"",""specific_02_eb3ee63b"":""模拟：产品/服务待按真实业务填写。"",""specific_03_a0c3ad05"":""模拟：要求待按真实业务填写。"",""specific_04_105210c4"":""模拟：评价结果待按真实业务填写。"",""specific_05_b8cb3aab"":""模拟：批准状态待按真实业务填写。""}",保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,JL-6.6-01-外部服务与供应品评价记录-试填.md,no,模拟试填，不作为真实运行记录，不得导入生产库，不得作为受控记录。
SIMULATED_TRIAL_NOT_REAL_RECORD,2026-07-07T07:03:31,lims_preimport_package/record_form_templates_preimport.csv,JL-7.1-01,合同评审记录,draft,trial_only_pending_human_review,7.1,XZTC/CX-08-2022；XZTC/CX-09-2022；XZTC/CX-12-2022,业务受理/技术负责人,接受检测任务前及合同变更时,"{""record_number"":""SIM-JL-7.1-01-20260707-001"",""record_name"":""合同评审记录"",""applicable_clause"":""7.1"",""related_procedure"":""XZTC/CX-08-2022；XZTC/CX-09-2022；XZTC/CX-12-2022"",""responsible_position"":""业务受理/技术负责人"",""trigger_time"":""接受检测任务前及合同变更时"",""reviewer"":""待人工确认"",""storage_location"":""待人工确认"",""retention_period"":""待人工确认"",""confidentiality_level"":""待确认"",""correction_rule"":""保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD"",""specific_01_93df5d13"":""模拟：客户要求出具珠宝玉石检测报告，报告内容和交付时限待真实委托确认。"",""specific_02_b77e2ac8"":""模拟：采用现行有效标准方法，具体标准编号待业务记录确认。"",""specific_03_eb9d53ce"":""模拟：人员、设备、环境和授权范围待真实受理时核查。"",""specific_04_c5ca3950"":""模拟：检测人员、仪器、复核人员和报告授权人待排班确认。"",""specific_05_6a0b5360"":""模拟：按约定周期完成；如变更应重新评审并通知客户。"",""specific_06_8825db7b"":""模拟：如需符合性声明，应先约定技术规范和决策规则。"",""specific_07_82bf9384"":""模拟：合同变更时重新评审并传达相关岗位。""}",保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,JL-7.1-01-合同评审记录-试填.md,no,模拟试填，不作为真实运行记录，不得导入生产库，不得作为受控记录。
SIMULATED_TRIAL_NOT_REAL_RECORD,2026-07-07T07:03:31,lims_preimport_package/record_form_templates_preimport.csv,JL-7.2-01,方法验证/确认记录,draft,trial_only_pending_human_review,7.2,XZTC/CX-22-2022；XZTC/CX-23-2022；XZTC/CX-24-2022；XZTC/CX-27-2022,技术负责人,方法投入使用、变更或扩项前,"{""record_number"":""SIM-JL-7.2-01-20260707-001"",""record_name"":""方法验证/确认记录"",""applicable_clause"":""7.2"",""related_procedure"":""XZTC/CX-22-2022；XZTC/CX-23-2022；XZTC/CX-24-2022；XZTC/CX-27-2022"",""responsible_position"":""技术负责人"",""trigger_time"":""方法投入使用、变更或扩项前"",""reviewer"":""待人工确认"",""storage_location"":""待人工确认"",""retention_period"":""待人工确认"",""confidentiality_level"":""待确认"",""correction_rule"":""保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD"",""specific_01_b77e2ac8"":""模拟：方法待按真实业务填写。"",""specific_02_baabf9e0"":""模拟：适用范围待按真实业务填写。"",""specific_03_2662cbff"":""模拟：验证项目待按真实业务填写。"",""specific_04_0a2c91ce"":""模拟：结果待按真实业务填写。"",""specific_05_32b3f16d"":""模拟：结论待按真实业务填写。"",""specific_06_62e26d21"":""模拟：批准待按真实业务填写。""}",保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,JL-7.2-01-方法验证确认记录-试填.md,no,模拟试填，不作为真实运行记录，不得导入生产库，不得作为受控记录。
