官方编号,系统是否存在,系统标题,处置,核验依据
"1","是","范围","保留","markdown.zip/GB/T 27025-2019"
"2","是","规范性引用文件","保留","markdown.zip/GB/T 27025-2019"
"3","是","术语和定义","保留","markdown.zip/GB/T 27025-2019"
"3.1","否","","补录","markdown.zip/GB/T 27025-2019"
"3.2","否","","补录","markdown.zip/GB/T 27025-2019"
"3.3","否","","补录","markdown.zip/GB/T 27025-2019"
"3.4","否","","补录","markdown.zip/GB/T 27025-2019"
"3.5","否","","补录","markdown.zip/GB/T 27025-2019"
"3.6","否","","补录","markdown.zip/GB/T 27025-2019"
"3.7","否","","补录","markdown.zip/GB/T 27025-2019"
"3.8","否","","补录","markdown.zip/GB/T 27025-2019"
"3.9","否","","补录","markdown.zip/GB/T 27025-2019"
"4","是","通用要求","保留","markdown.zip/GB/T 27025-2019"
"4.1","是","公正性","保留","markdown.zip/GB/T 27025-2019"
"4.1.1","否","","补录","markdown.zip/GB/T 27025-2019"
"4.1.2","是","公正性责任","保留","markdown.zip/GB/T 27025-2019"
"4.1.3","是","公正性风险识别","保留","markdown.zip/GB/T 27025-2019"
"4.1.4","是","公正性风险消除或降低","保留","markdown.zip/GB/T 27025-2019"
"4.1.5","是","公正性持续控制","保留","markdown.zip/GB/T 27025-2019"
"4.2","是","保密性","保留","markdown.zip/GB/T 27025-2019"
"4.2.1","是","保密责任","保留","markdown.zip/GB/T 27025-2019"
"4.2.2","是","信息公开前通知","保留","markdown.zip/GB/T 27025-2019"
"4.2.3","是","法律要求披露信息","保留","markdown.zip/GB/T 27025-2019"
"4.2.4","是","外部来源信息保密","保留","markdown.zip/GB/T 27025-2019"
"5","是","结构要求","保留","markdown.zip/GB/T 27025-2019"
"5.1","是","法律实体","保留","markdown.zip/GB/T 27025-2019"
"5.2","是","管理层职责","保留","markdown.zip/GB/T 27025-2019"
"5.3","是","实验室活动范围","保留","markdown.zip/GB/T 27025-2019"
"5.4","是","活动实施方式","保留","markdown.zip/GB/T 27025-2019"
"5.5","否","","补录","markdown.zip/GB/T 27025-2019"
"5.6","是","管理体系实施职责","保留","markdown.zip/GB/T 27025-2019"
"5.7","是","”实验室管理层应确保","保留","markdown.zip/GB/T 27025-2019"
"6","是","资源要求","保留","markdown.zip/GB/T 27025-2019"
"6.1","是","总则","保留","markdown.zip/GB/T 27025-2019"
"6.2","是","人员","保留","markdown.zip/GB/T 27025-2019"
"6.2.1","是","人员公正与能力","保留","markdown.zip/GB/T 27025-2019"
"6.2.2","是","人员能力要求文件化","保留","markdown.zip/GB/T 27025-2019"
"6.2.3","是","人员能力保证","保留","markdown.zip/GB/T 27025-2019"
"6.2.4","是","人员职责沟�","保留","markdown.zip/GB/T 27025-2019"
"6.2.5","是","人员程序和记录","保留","markdown.zip/GB/T 27025-2019"
"6.2.6","是","人员授权","保留","markdown.zip/GB/T 27025-2019"
"6.3","是","设施和环境条件","保留","markdown.zip/GB/T 27025-2019"
"6.3.1","是","设施环境适宜性","保留","markdown.zip/GB/T 27025-2019"
"6.3.2","否","","补录","markdown.zip/GB/T 27025-2019"
"6.3.3","是","环境条件监控","保留","markdown.zip/GB/T 27025-2019"
"6.3.4","是","区域控制","保留","markdown.zip/GB/T 27025-2019"
"6.3.5","否","","补录","markdown.zip/GB/T 27025-2019"
"6.4","是","设备","保留","markdown.zip/GB/T 27025-2019"
"6.4.1","是","设备可获得性","保留","markdown.zip/GB/T 27025-2019"
"6.4.2","是","外部设备控制","保留","markdown.zip/GB/T 27025-2019"
"6.4.3","是","设备操作程序","保留","markdown.zip/GB/T 27025-2019"
"6.4.4","是","设备要求验证","保留","markdown.zip/GB/T 27025-2019"
"6.4.5","是","设备测量准确度","保留","markdown.zip/GB/T 27025-2019"
"6.4.6","是","设备校准","保留","markdown.zip/GB/T 27025-2019"
"6.4.7","是","校准方案","保留","markdown.zip/GB/T 27025-2019"
"6.4.8","是","校准状态标识","保留","markdown.zip/GB/T 27025-2019"
"6.4.9","是","设备隔离和停用","保留","markdown.zip/GB/T 27025-2019"
"6.4.10","是","期间核查","保留","markdown.zip/GB/T 27025-2019"
"6.4.11","是","校准和修正因子更新","保留","markdown.zip/GB/T 27025-2019"
"6.4.12","是","防止设备意外调整","保留","markdown.zip/GB/T 27025-2019"
"6.4.13","是","设备记录","保留","markdown.zip/GB/T 27025-2019"
