template_code,template_name,field_order,field_key,field_label,field_type,required,field_group,default_value,review_focus
JL-REL-01,体系文件审批签核记录,1,record_number,记录编号,text,yes,common,,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-01,体系文件审批签核记录,2,record_name,记录名称,text,yes,common,体系文件审批签核记录,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-01,体系文件审批签核记录,3,applicable_clause,适用条款,text,yes,common,8.2、8.3、8.4,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-01,体系文件审批签核记录,4,related_procedure,关联程序,text,yes,common,XZTC/CX-08-2022；XZTC/CX-19-2022,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-01,体系文件审批签核记录,5,responsible_position,填写责任,text,yes,common,文件管理员/质量负责人,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-01,体系文件审批签核记录,6,trigger_time,形成时机,text,yes,common,候选文件或记录模板提交审核批准时,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-01,体系文件审批签核记录,7,reviewer,复核/批准,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-01,体系文件审批签核记录,8,approval_status,审批/确认状态,select,yes,common,pending,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-01,体系文件审批签核记录,9,evidence_reference,证据位置,text,yes,common,02-审批签核演练清单.csv,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-01,体系文件审批签核记录,10,storage_location,保存位置,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-01,体系文件审批签核记录,11,retention_period,保存期限,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-01,体系文件审批签核记录,12,confidentiality_level,保密等级,select,no,common,待确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-01,体系文件审批签核记录,13,correction_rule,更正规则,text,yes,common,保留原始信息、更正原因、更正日期、责任人和复核痕迹。,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-01,体系文件审批签核记录,14,not_real_record_marker,非真实记录标识,text,yes,common,SIMULATED_TRIAL_NOT_REAL_RECORD,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-01,体系文件审批签核记录,15,release_item_id,发布对象编号,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-01,体系文件审批签核记录,16,object_doc_number,文件或模板编号,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-01,体系文件审批签核记录,17,review_summary,审核意见摘要,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-01,体系文件审批签核记录,18,approver_roles,审批岗位,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-01,体系文件审批签核记录,19,approval_result,批准结论,select,yes,specific,pending,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-01,体系文件审批签核记录,20,effective_date,拟生效日期,date,no,specific,待人工确认,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-02,文件发布发放与现行状态确认记录,1,record_number,记录编号,text,yes,common,,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-02,文件发布发放与现行状态确认记录,2,record_name,记录名称,text,yes,common,文件发布发放与现行状态确认记录,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-02,文件发布发放与现行状态确认记录,3,applicable_clause,适用条款,text,yes,common,8.3、8.4,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-02,文件发布发放与现行状态确认记录,4,related_procedure,关联程序,text,yes,common,XZTC/CX-08-2022；XZTC/CX-19-2022,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-02,文件发布发放与现行状态确认记录,5,responsible_position,填写责任,text,yes,common,文件管理员,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-02,文件发布发放与现行状态确认记录,6,trigger_time,形成时机,text,yes,common,受控文件批准发布、发放、回收或现行状态确认时,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-02,文件发布发放与现行状态确认记录,7,reviewer,复核/批准,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-02,文件发布发放与现行状态确认记录,8,approval_status,审批/确认状态,select,yes,common,pending,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-02,文件发布发放与现行状态确认记录,9,evidence_reference,证据位置,text,yes,common,01-发布对象清单.csv,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-02,文件发布发放与现行状态确认记录,10,storage_location,保存位置,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-02,文件发布发放与现行状态确认记录,11,retention_period,保存期限,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-02,文件发布发放与现行状态确认记录,12,confidentiality_level,保密等级,select,no,common,待确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-02,文件发布发放与现行状态确认记录,13,correction_rule,更正规则,text,yes,common,保留原始信息、更正原因、更正日期、责任人和复核痕迹。,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-02,文件发布发放与现行状态确认记录,14,not_real_record_marker,非真实记录标识,text,yes,common,SIMULATED_TRIAL_NOT_REAL_RECORD,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-02,文件发布发放与现行状态确认记录,15,distribution_scope,发放范围,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-02,文件发布发放与现行状态确认记录,16,recipient_role,接收岗位,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-02,文件发布发放与现行状态确认记录,17,issue_method,发放方式,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-02,文件发布发放与现行状态确认记录,18,receipt_status,接收确认状态,select,yes,specific,pending,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-02,文件发布发放与现行状态确认记录,19,current_status_check,现行状态核查结论,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-02,文件发布发放与现行状态确认记录,20,old_version_link,旧版处置关联编号,text,no,specific,待人工确认,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-03,体系文件培训宣贯与理解确认记录,1,record_number,记录编号,text,yes,common,,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-03,体系文件培训宣贯与理解确认记录,2,record_name,记录名称,text,yes,common,体系文件培训宣贯与理解确认记录,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-03,体系文件培训宣贯与理解确认记录,3,applicable_clause,适用条款,text,yes,common,6.2、8.2、8.3、8.4,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-03,体系文件培训宣贯与理解确认记录,4,related_procedure,关联程序,text,yes,common,XZTC/CX-01-2022；XZTC/CX-01-02-2022；XZTC/CX-08-2022；XZTC/CX-19-2022,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-03,体系文件培训宣贯与理解确认记录,5,responsible_position,填写责任,text,yes,common,质量负责人/文件管理员/培训责任人,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-03,体系文件培训宣贯与理解确认记录,6,trigger_time,形成时机,text,yes,common,新文件发布、生效前或记录模板启用前,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-03,体系文件培训宣贯与理解确认记录,7,reviewer,复核/批准,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-03,体系文件培训宣贯与理解确认记录,8,approval_status,审批/确认状态,select,yes,common,pending,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-03,体系文件培训宣贯与理解确认记录,9,evidence_reference,证据位置,text,yes,common,03-培训宣贯演练清单.csv,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-03,体系文件培训宣贯与理解确认记录,10,storage_location,保存位置,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-03,体系文件培训宣贯与理解确认记录,11,retention_period,保存期限,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-03,体系文件培训宣贯与理解确认记录,12,confidentiality_level,保密等级,select,no,common,待确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-03,体系文件培训宣贯与理解确认记录,13,correction_rule,更正规则,text,yes,common,保留原始信息、更正原因、更正日期、责任人和复核痕迹。,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-03,体系文件培训宣贯与理解确认记录,14,not_real_record_marker,非真实记录标识,text,yes,common,SIMULATED_TRIAL_NOT_REAL_RECORD,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-03,体系文件培训宣贯与理解确认记录,15,training_topic,培训主题,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-03,体系文件培训宣贯与理解确认记录,16,trainee_group,培训对象,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-03,体系文件培训宣贯与理解确认记录,17,training_method,培训方式,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-03,体系文件培训宣贯与理解确认记录,18,comprehension_check,理解确认方式,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-03,体系文件培训宣贯与理解确认记录,19,questions_follow_up,问题与跟踪,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-03,体系文件培训宣贯与理解确认记录,20,trainer,培训人,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-04,旧版文件回收作废与留存记录,1,record_number,记录编号,text,yes,common,,通用治理字段，正式启用前需由文件管理员确认。
