learning_task_id,source_training_item_id,role_group,topic,source_object,trigger,required_before_effective,blocks_release_if_pending,learning_materials,implementation_check,evidence_to_collect,human_confirmation_status,not_real_record,not_real_record_marker
TRN-001-R01,TRN-001,全体影响检测活动人员,第五版质量手册主要变化宣贯,XZTC/SC,第五版批准后、生效前,yes,yes,10-质量手册第五版候选稿.md；11-第四版到第五版候选修订说明.md；manual_revision_path_pack/00-质量手册修订换版路径总览.md；lims_write_preview_package/04-write-preview-summary.md,能说明第五版候选稿仍需人工评审、修订批准、发布宣贯和旧版作废，不能直接替代第四版。,培训计划、签到、考核或效果确认、问题答疑记录,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-001-R02,TRN-001,管理层,第五版质量手册主要变化宣贯,XZTC/SC,第五版批准后、生效前,yes,yes,10-质量手册第五版候选稿.md；11-第四版到第五版候选修订说明.md；manual_revision_path_pack/00-质量手册修订换版路径总览.md；lims_write_preview_package/04-write-preview-summary.md,能说明第五版候选稿仍需人工评审、修订批准、发布宣贯和旧版作废，不能直接替代第四版。,培训计划、签到、考核或效果确认、问题答疑记录,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-001-R03,TRN-001,授权签字人,第五版质量手册主要变化宣贯,XZTC/SC,第五版批准后、生效前,yes,yes,10-质量手册第五版候选稿.md；11-第四版到第五版候选修订说明.md；manual_revision_path_pack/00-质量手册修订换版路径总览.md；lims_write_preview_package/04-write-preview-summary.md,能说明第五版候选稿仍需人工评审、修订批准、发布宣贯和旧版作废，不能直接替代第四版。,培训计划、签到、考核或效果确认、问题答疑记录,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-002-R01,TRN-002,文件管理员,LIMS 2022 程序目录现行状态确认,37 个现行 2022 程序文件,第五版候选稿人工评审时,yes,yes,12-支持性程序目录-2022版.md；controlled_release_rehearsal/01-发布对象清单.csv；controlled_release_rehearsal/06-口径闸门检查表.csv,能确认 37 个 2022 程序为现行目录基线，并知道 05-02 仍需单独归属判定。,现行目录确认、发放范围核对、变更说明,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-002-R02,TRN-002,质量负责人,LIMS 2022 程序目录现行状态确认,37 个现行 2022 程序文件,第五版候选稿人工评审时,yes,yes,12-支持性程序目录-2022版.md；controlled_release_rehearsal/01-发布对象清单.csv；controlled_release_rehearsal/06-口径闸门检查表.csv,能确认 37 个 2022 程序为现行目录基线，并知道 05-02 仍需单独归属判定。,现行目录确认、发放范围核对、变更说明,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-002-R03,TRN-002,相关过程负责人,LIMS 2022 程序目录现行状态确认,37 个现行 2022 程序文件,第五版候选稿人工评审时,yes,yes,12-支持性程序目录-2022版.md；controlled_release_rehearsal/01-发布对象清单.csv；controlled_release_rehearsal/06-口径闸门检查表.csv,能确认 37 个 2022 程序为现行目录基线，并知道 05-02 仍需单独归属判定。,现行目录确认、发放范围核对、变更说明,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-003-R01,TRN-003,文件管理员,jewelry-qms 建设中系统使用边界,14-jewelry-qms实施计划与验证方案.md,系统试运行前,no,no,14-jewelry-qms实施计划与验证方案.md；release_execution_template_pack/templates/JL-REL-06-jewelry-qms试运行与适用性确认记录.md；23-LIMS预导入命令使用说明与阻断项.md,能说明 jewelry-qms 目前仅用于实施计划、试运行和治理准备，不写入质量手册正文。,试运行说明、权限培训、数据备份恢复和审计追踪确认记录,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-003-R02,TRN-003,质量负责人,jewelry-qms 建设中系统使用边界,14-jewelry-qms实施计划与验证方案.md,系统试运行前,no,no,14-jewelry-qms实施计划与验证方案.md；release_execution_template_pack/templates/JL-REL-06-jewelry-qms试运行与适用性确认记录.md；23-LIMS预导入命令使用说明与阻断项.md,能说明 jewelry-qms 目前仅用于实施计划、试运行和治理准备，不写入质量手册正文。,试运行说明、权限培训、数据备份恢复和审计追踪确认记录,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-003-R03,TRN-003,系统管理员,jewelry-qms 建设中系统使用边界,14-jewelry-qms实施计划与验证方案.md,系统试运行前,no,no,14-jewelry-qms实施计划与验证方案.md；release_execution_template_pack/templates/JL-REL-06-jewelry-qms试运行与适用性确认记录.md；23-LIMS预导入命令使用说明与阻断项.md,能说明 jewelry-qms 目前仅用于实施计划、试运行和治理准备，不写入质量手册正文。,试运行说明、权限培训、数据备份恢复和审计追踪确认记录,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-003-R04,TRN-003,试运行人员,jewelry-qms 建设中系统使用边界,14-jewelry-qms实施计划与验证方案.md,系统试运行前,no,no,14-jewelry-qms实施计划与验证方案.md；release_execution_template_pack/templates/JL-REL-06-jewelry-qms试运行与适用性确认记录.md；23-LIMS预导入命令使用说明与阻断项.md,能说明 jewelry-qms 目前仅用于实施计划、试运行和治理准备，不写入质量手册正文。,试运行说明、权限培训、数据备份恢复和审计追踪确认记录,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
