task_id,gate_id,task_group,object_code,object_name,owner_role,source_current_status,closure_preview_result,refreshed_task_status,accepted_for_refresh,blocking_before_refresh,blocking_after_refresh,closure_evidence_reference,evidence_template_reference,source_path,not_imported,not_real_record
CLAUSE-4.1,GR-02,manual_clause,CLAUSE-4.1,4.1 公正性,最高管理者/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-001,TEST-COMPLETE-TEMPLATE-001,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-4.2,GR-02,manual_clause,CLAUSE-4.2,4.2 保密性,最高管理者/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-002,TEST-COMPLETE-TEMPLATE-002,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-5,GR-02,manual_clause,CLAUSE-5,5 结构要求,最高管理者/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-003,TEST-COMPLETE-TEMPLATE-003,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-6.1,GR-02,manual_clause,CLAUSE-6.1,6.1 资源总则,质量负责人/相关过程负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-004,TEST-COMPLETE-TEMPLATE-004,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-6.2,GR-02,manual_clause,CLAUSE-6.2,6.2 人员,质量负责人/相关过程负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-005,TEST-COMPLETE-TEMPLATE-005,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-6.3,GR-02,manual_clause,CLAUSE-6.3,6.3 设施环境,质量负责人/相关过程负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-006,TEST-COMPLETE-TEMPLATE-006,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-6.4,GR-02,manual_clause,CLAUSE-6.4,6.4 设备,设备管理员/技术负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-007,TEST-COMPLETE-TEMPLATE-007,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-6.5,GR-02,manual_clause,CLAUSE-6.5,6.5 计量溯源性,设备管理员/技术负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-008,TEST-COMPLETE-TEMPLATE-008,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-6.6,GR-02,manual_clause,CLAUSE-6.6,6.6 外部产品和服务,质量负责人/相关过程负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-009,TEST-COMPLETE-TEMPLATE-009,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-7.1,GR-02,manual_clause,CLAUSE-7.1,7.1 合同评审,技术负责人/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-010,TEST-COMPLETE-TEMPLATE-010,human_review_workbench/decision_update_template.csv,yes,yes
