section_number,title,stable_key,procedure_document_links,attachment_form_document_links,record_form_template_links,total_links,unresolved_targets,review_focus,human_decision,blocking_if_unresolved
4.1,公正性,manual_v5_candidate_4_1,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
4.2,保密性,manual_v5_candidate_4_2,4,0,1,5,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
5,结构要求,manual_v5_candidate_5,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
6.1,资源总则,manual_v5_candidate_6_1,4,0,1,5,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
6.2,人员,manual_v5_candidate_6_2,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
6.3,设施环境,manual_v5_candidate_6_3,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
6.4,设备,manual_v5_candidate_6_4,3,1,1,5,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
6.5,计量溯源性,manual_v5_candidate_6_5,2,1,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
6.6,外部产品和服务,manual_v5_candidate_6_6,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
7.1,合同评审,manual_v5_candidate_7_1,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
7.2,方法,manual_v5_candidate_7_2,4,0,1,5,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
7.3,抽样,manual_v5_candidate_7_3,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
7.4,样品处置,manual_v5_candidate_7_4,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
7.5,技术记录,manual_v5_candidate_7_5,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
7.6,测量不确定度,manual_v5_candidate_7_6,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
7.7,结果有效性,manual_v5_candidate_7_7,4,0,1,5,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
7.8,报告结果,manual_v5_candidate_7_8,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
7.9,投诉,manual_v5_candidate_7_9,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
7.10,不符合工作,manual_v5_candidate_7_10,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
7.11,数据控制与信息管理,manual_v5_candidate_7_11,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
8.1,管理体系方式,manual_v5_candidate_8_1,4,0,2,6,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
8.2,管理体系文件,manual_v5_candidate_8_2,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
8.3,文件控制,manual_v5_candidate_8_3,2,0,1,3,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
8.4,记录控制,manual_v5_candidate_8_4,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
8.5,风险和机遇,manual_v5_candidate_8_5,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
8.6,改进,manual_v5_candidate_8_6,4,0,1,5,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
8.7,纠正措施,manual_v5_candidate_8_7,3,0,1,4,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
8.8,内部审核,manual_v5_candidate_8_8,4,0,1,5,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
8.9,管理评审,manual_v5_candidate_8_9,4,0,1,5,0,确认本条款与程序、附件/表单、记录模板之间的证据链是否符合组织真实运行。,approved,yes
