preview_action,target_table,company_id,id_policy,level,doc_number,title,version,status,publish,soft_delete,change_reason,existing_match,existing_status,source_stage_file,import_mode,created_policy,modified_policy
plan_existing_document_revision,documents,00000000-0000-0000-0000-000000000001,,1,XZTC/SC,质量手册（第五版候选稿）,第五版候选稿,draft,0,,"第四版依据、程序目录、抽样、记录证据链和 LIMS 治理边界候选修订。",yes,published,10-质量手册第五版候选稿.md,manual_review_then_revision_flow,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-01-2022,人员培训程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/01-2022人员培训程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-01-02-2022,人员管理程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/01-02-2022人员管理程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-02-2022,设施与环境条件控制和维护程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/02-2022设施与环境条件控制和维护程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-03-2022,仪器设备管理程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/03-2022仪器设备管理程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-03-02-2022,标准物质管理程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/03-02-2022标准物质管理程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-04-2022,仪器设备和标准物质期间核查程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/04-2022仪器设备和标准物质期间核查程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-05-2022,实现测量可溯源程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/05-2022实现测量可溯源程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-06-2022,保护客户机密信息程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/06-2022保护客户机密信息程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-07-2022,确保公正性程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/07-2022确保公正性程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-07-02-2022,防止商业贿赂程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/07-02-2022防止商业贿赂程序.doc,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-08-2022,文件控制程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/08-2022文件控制程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-09-2022,客户要求、标书、合同评审程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/09-2022客户要求、标书、合同评审程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-11-2022,外部支持服务和供应品管理程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/11-2022外部支持服务和供应品管理程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-12-2022,服务客户程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/12-2022服务客户程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-13-2022,内部沟通程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/13-2022内部沟通程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-14-2022,处理投诉程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/14-2022处理投诉程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-15-2022,不符合检测工作管理程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/15-2022不符合检测工作管理程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-16-2022,实施纠正措施程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/16-2022实施纠正措施程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-17-2022,实施预防措施程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/17-2022实施预防措施程序.docx,match_or_upsert_after_file_control_review,,
skip_reference_existing_current,documents,00000000-0000-0000-0000-000000000001,,2,XZTC/CX-18-2022,改进控制程序,2022,published,1,,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。",yes,published,现用文件/程序文件/程序文件2022/18-2022改进控制程序.docx,match_or_upsert_after_file_control_review,,
