review_item_id,stable_key,section_number,title,block_type,procedure_document_links,attachment_form_document_links,record_form_template_links,total_links,link_confidence,phase_dependency,human_decision,reviewer_role,review_comment,blocking_if_unresolved,not_imported
STG2-BLOCK-001,manual_v5_candidate_4_1,4.1,公正性,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-002,manual_v5_candidate_4_2,4.2,保密性,control_requirement,4,0,1,5,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-003,manual_v5_candidate_5,5,结构要求,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-004,manual_v5_candidate_6_1,6.1,资源总则,control_requirement,4,0,1,5,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-005,manual_v5_candidate_6_2,6.2,人员,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-006,manual_v5_candidate_6_3,6.3,设施环境,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-007,manual_v5_candidate_6_4,6.4,设备,control_requirement,3,1,1,5,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-008,manual_v5_candidate_6_5,6.5,计量溯源性,control_requirement,2,1,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-009,manual_v5_candidate_6_6,6.6,外部产品和服务,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-010,manual_v5_candidate_7_1,7.1,合同评审,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-011,manual_v5_candidate_7_2,7.2,方法,control_requirement,4,0,1,5,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-012,manual_v5_candidate_7_3,7.3,抽样,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-013,manual_v5_candidate_7_4,7.4,样品处置,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-014,manual_v5_candidate_7_5,7.5,技术记录,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-015,manual_v5_candidate_7_6,7.6,测量不确定度,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-016,manual_v5_candidate_7_7,7.7,结果有效性,control_requirement,4,0,1,5,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-017,manual_v5_candidate_7_8,7.8,报告结果,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-018,manual_v5_candidate_7_9,7.9,投诉,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-019,manual_v5_candidate_7_10,7.10,不符合工作,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-020,manual_v5_candidate_7_11,7.11,数据控制与信息管理,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-021,manual_v5_candidate_8_1,8.1,管理体系方式,control_requirement,4,0,2,6,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-022,manual_v5_candidate_8_2,8.2,管理体系文件,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-023,manual_v5_candidate_8_3,8.3,文件控制,control_requirement,2,0,1,3,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-024,manual_v5_candidate_8_4,8.4,记录控制,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-025,manual_v5_candidate_8_5,8.5,风险和机遇,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-026,manual_v5_candidate_8_6,8.6,改进,control_requirement,4,0,1,5,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-027,manual_v5_candidate_8_7,8.7,纠正措施,control_requirement,3,0,1,4,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-028,manual_v5_candidate_8_8,8.8,内部审核,control_requirement,4,0,1,5,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-BLOCK-029,manual_v5_candidate_8_9,8.9,管理评审,control_requirement,4,0,1,5,review_required,manual_revision_human_decision_required,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
