signature_id,owner_role,task_batches,total_tasks,blocking_tasks,assigned_person,reviewer,planned_finish_date,actual_finish_date,signature_status,required_before_refresh,not_imported,not_real_record
GCES-001,Codex dry-run/文件管理员复核,1,6,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-002,业务受理/技术负责人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-003,全体影响检测活动人员,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-004,内审组长,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-005,原记录人员/复核人员,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-006,复核人/授权签字人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-007,复核人员,1,26,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-008,对应过程填写人员,1,26,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-009,待人工分配,1,8,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-010,技术负责人,1,3,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-011,技术负责人/业务受理,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-012,技术负责人/文件管理员,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-013,技术负责人/相关过程负责人/质量负责人,1,11,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-014,技术负责人/质量负责人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-015,授权签字人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-016,文件管理员,4,32,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-017,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,1,28,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-018,文件管理员/相关过程负责人/质量负责人,2,27,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-019,文件管理员/设备管理员/技术负责人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-020,文件管理员/设备管理员/技术负责人/质量负责人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-021,文件管理员/质量负责人,4,5,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-022,文件管理员/质量负责人/最高管理者,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-023,最高管理者/技术负责人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-024,最高管理者/质量负责人,3,5,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-025,样品管理员,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-026,检测人员/监督员,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-027,用户/总控,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-028,用户/最高管理者授权角色,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-029,相关过程负责人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-030,管理层,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-031,系统管理员,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,no,yes,yes
GCES-032,系统管理员/文件管理员,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-033,系统管理员/文件管理员/质量负责人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-034,设备管理员,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-035,设备管理员/技术负责人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-036,设备管理员/技术负责人/质量负责人,1,2,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-037,试运行人员,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,no,yes,yes
GCES-038,责任部门/质量负责人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-039,质量负责人,2,5,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-040,质量负责人/内审员/过程负责人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-041,质量负责人/技术负责人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-042,质量负责人/技术负责人/文件管理员,1,154,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-043,质量负责人/文件管理员,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-044,质量负责人/文件管理员/培训责任人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-045,质量负责人/文件管理员/最高管理者,1,9,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-046,质量负责人/相关过程负责人,1,4,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-047,质量负责人/系统管理员/文件管理员,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-048,质量负责人；文件管理员；相关过程负责人,1,12,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-049,过程负责人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
GCES-050,采购/质量负责人,1,1,0,测试审核人,测试复核人,,2026-07-08,completed,yes,yes,yes
