role_batch_id,owner_role,gate_id,task_group,task_count,blocking_count,source_paths,first_object_code,suggested_handling_order,not_real_record
GCB-001,Codex dry-run/文件管理员复核,GR-02,preapply_gate,6,6,human_review_workbench/decision_update_template.csv,GATE-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-002,业务受理/技术负责人,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-7.1-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-003,全体影响检测活动人员,GR-07,staff_learning_task,1,1,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,TRN-001,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-004,内审组长,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-8.8-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-005,原记录人员/复核人员,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-7.5-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-006,复核人/授权签字人,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-7.8-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-007,复核人员,GR-07,staff_learning_task,26,26,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,TRN-004,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-008,对应过程填写人员,GR-07,staff_learning_task,26,26,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,TRN-004,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-009,待人工分配,GR-09,feedback_closure,8,8,staff_training_implementation_pack/04-问题反馈与修订回填模板.csv,第五版候选手册正文事实错误或职责不匹配,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-010,技术负责人,GR-03,record_template_field_confirmation,3,3,record_template_field_catalog/01-模板字段索引.csv,JL-6.2-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-011,技术负责人/业务受理,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-7.3-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
