gate_id,gate_group,gate_name,owner_role,source_total_items,source_pending_items,source_blocking_items,human_task_rows,blocking_task_rows,closure_readiness,source_path,next_action,evidence_needed,not_real_record
GR-01,候选包结构,第五版候选文件、模板和追溯矩阵结构可识别,文件管理员/质量负责人,153,0,0,0,0,ready_after_review,lims_preimport_package/preimport_manifest.json,保持 dry-run 复核；后续只在人工评审完成后讨论 apply。,17/18/21/24/26 等验证报告,yes
GR-02,人工评审,候选手册、记录模板、05-02 归属和 apply 前闸门人工评审,最高管理者/质量负责人/文件管理员,67,67,67,67,67,blocked_by_open_closures,human_review_workbench/decision_update_template.csv,逐项填写 new_human_decision 和 review_comment，再生成回填预览。,候选手册正文、现行程序、记录模板、真实运行证据和岗位责任,yes
GR-03,记录模板字段,26 个候选记录模板字段逐项确认,文件管理员/质量负责人/对应过程负责人,437,437,437,26,26,blocked_by_open_closures,record_template_field_catalog/01-模板字段索引.csv,按模板确认字段含义、必填性、保存期限、保密等级、签核和现用表单一致性。,record_template_field_catalog/02-字段级明细.csv 与全量试填表,yes
GR-04,质量手册换版,XZTC/SC 第五版候选手册修订/换版路径确认,最高管理者/质量负责人/文件管理员,5,5,5,5,5,blocked_by_open_closures,manual_revision_path_pack/04-人工决策闸门.csv,确认同编号既有 published 文件的修订/换版路线、生效日期、旧版处置和 LIMS 同步动作。,质量手册候选稿、第四版差异说明、文件控制程序和修订路径包,yes
GR-05,受控发布,审批签核、发布发放和旧版处置演练确认,文件管理员/质量负责人/最高管理者,28,28,28,28,28,blocked_by_open_closures,controlled_release_rehearsal/02-审批签核演练清单.csv,确认审批角色、签核步骤、发放范围、生效日期、旧版回收作废和留存要求。,controlled_release_rehearsal/ 全包与 release_execution_template_pack/,yes
GR-06,发布执行记录,6 类发布执行记录候选模板人工确认,文件管理员/质量负责人/系统管理员,6,6,6,6,6,blocked_by_open_closures,release_execution_template_pack/01-发布执行记录模板索引.csv,确认发布执行记录模板字段、保存/签核要求和 jewelry-qms 试运行确认记录是否适用。,release_execution_template_pack/templates/*.md 与字段明细,yes
GR-07,人员学习,岗位学习任务和学习证据确认,质量负责人/文件管理员/培训责任人,88,88,84,88,84,blocked_by_open_closures,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,确认真实岗位、学习材料、学习证据和发布前必须完成的学习任务。,培训计划、签到、考核或效果确认、问题答疑记录,yes
GR-08,理解确认,12 道理解确认题和人员理解证据,质量负责人/文件管理员/培训责任人,12,12,12,12,12,blocked_by_open_closures,staff_training_implementation_pack/03-理解确认题库.csv,确认题目是否覆盖关键边界，并形成口头、书面或现场演示证据。,理解确认、访谈记录、问题反馈和回填预览,yes
GR-09,问题反馈,问题反馈与修订回填闭环,质量负责人/文件管理员/对应过程负责人,8,8,8,8,8,blocked_by_open_closures,staff_training_implementation_pack/04-问题反馈与修订回填模板.csv,填写反馈处置、是否修订候选稿/模板/实施计划，并回填到对应评审项。,问题反馈记录、修订说明、回填预览和验证报告,yes
GR-10,第一阶段预览,LIMS 第一阶段写库行级预览人工复核,文件管理员/系统管理员/质量负责人,95,95,95,1,1,blocked_by_open_closures,lims_write_preview_package/write_preview_manifest.json,复核 27 条新增 draft、1 条质量手册修订路径、37 条现行程序引用、26 条记录模板和 4 条外来依据 upsert。,lims_write_preview_package/*.csv 与 47 号 dry-run 报告,yes
GR-11,第二阶段复核,手册块和块级链接人工复核,质量负责人/技术负责人/文件管理员,154,154,154,154,154,blocked_by_open_closures,stage2_structured_review_workbench/05-人工复核意见回填模板.csv,逐条确认手册块、程序/附件/记录模板链接是否真实适用，再生成回填预览。,stage2_structured_review_workbench/01-04 与 lims_stage2_write_preview_package/,yes
GR-12,第二阶段回填预览,第二阶段复核意见回填预览无阻断,质量负责人/文件管理员/系统管理员,154,154,154,0,0,ready_after_review,stage2_structured_review_decision_preview/stage2_review_decision_preview_manifest.json,二阶段复核意见填写后重跑预览，确认无非法决策、缺少说明或仍阻断项。,63/64/67/68 号报告和 stage2_review_decision_preview_manifest.json,yes
GR-13,用户授权,正式 apply 前用户明确授权,用户/总控,1,1,1,1,1,blocked_by_open_closures,.team/任务板.md,只有在上述评审、培训、发布和预览闸门关闭后，才讨论是否授权正式 apply。,用户明确授权、批准记录、完整 dry-run 证据,yes
