closure_item_id,source_task_id,gate_id,task_group,object_code,object_name,owner_role,source_current_status,proposed_closure_status,evidence_reference,closure_comment,reviewer,review_date,closure_result,blocks_apply,not_imported,not_real_record
GC-0001,CLAUSE-4.1,GR-02,manual_clause,CLAUSE-4.1,4.1 公正性,最高管理者/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-001,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0002,CLAUSE-4.2,GR-02,manual_clause,CLAUSE-4.2,4.2 保密性,最高管理者/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-002,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0003,CLAUSE-5,GR-02,manual_clause,CLAUSE-5,5 结构要求,最高管理者/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-003,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0004,CLAUSE-6.1,GR-02,manual_clause,CLAUSE-6.1,6.1 资源总则,质量负责人/相关过程负责人,pending,closed,TEST-COMPLETE-CLOSURE-004,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0005,CLAUSE-6.2,GR-02,manual_clause,CLAUSE-6.2,6.2 人员,质量负责人/相关过程负责人,pending,closed,TEST-COMPLETE-CLOSURE-005,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0006,CLAUSE-6.3,GR-02,manual_clause,CLAUSE-6.3,6.3 设施环境,质量负责人/相关过程负责人,pending,closed,TEST-COMPLETE-CLOSURE-006,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0007,CLAUSE-6.4,GR-02,manual_clause,CLAUSE-6.4,6.4 设备,设备管理员/技术负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-007,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0008,CLAUSE-6.5,GR-02,manual_clause,CLAUSE-6.5,6.5 计量溯源性,设备管理员/技术负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-008,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0009,CLAUSE-6.6,GR-02,manual_clause,CLAUSE-6.6,6.6 外部产品和服务,质量负责人/相关过程负责人,pending,closed,TEST-COMPLETE-CLOSURE-009,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0010,CLAUSE-7.1,GR-02,manual_clause,CLAUSE-7.1,7.1 合同评审,技术负责人/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-010,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0011,CLAUSE-7.2,GR-02,manual_clause,CLAUSE-7.2,7.2 方法,技术负责人/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-011,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0012,CLAUSE-7.3,GR-02,manual_clause,CLAUSE-7.3,7.3 抽样,技术负责人/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-012,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0013,CLAUSE-7.4,GR-02,manual_clause,CLAUSE-7.4,7.4 样品处置,技术负责人/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-013,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0014,CLAUSE-7.5,GR-02,manual_clause,CLAUSE-7.5,7.5 技术记录,技术负责人/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-014,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0015,CLAUSE-7.6,GR-02,manual_clause,CLAUSE-7.6,7.6 测量不确定度,技术负责人/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-015,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0016,CLAUSE-7.7,GR-02,manual_clause,CLAUSE-7.7,7.7 结果有效性,技术负责人/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-016,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0017,CLAUSE-7.8,GR-02,manual_clause,CLAUSE-7.8,7.8 报告结果,技术负责人/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-017,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0018,CLAUSE-7.9,GR-02,manual_clause,CLAUSE-7.9,7.9 投诉,技术负责人/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-018,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0019,CLAUSE-7.10,GR-02,manual_clause,CLAUSE-7.10,7.10 不符合工作,技术负责人/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-019,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0020,CLAUSE-7.11,GR-02,manual_clause,CLAUSE-7.11,7.11 数据控制与信息管理,技术负责人/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-020,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0021,CLAUSE-8.1,GR-02,manual_clause,CLAUSE-8.1,8.1 管理体系方式,质量负责人/文件管理员/最高管理者,pending,closed,TEST-COMPLETE-CLOSURE-021,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0022,CLAUSE-8.2,GR-02,manual_clause,CLAUSE-8.2,8.2 管理体系文件,质量负责人/文件管理员/最高管理者,pending,closed,TEST-COMPLETE-CLOSURE-022,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0023,CLAUSE-8.3,GR-02,manual_clause,CLAUSE-8.3,8.3 文件控制,质量负责人/文件管理员/最高管理者,pending,closed,TEST-COMPLETE-CLOSURE-023,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0024,CLAUSE-8.4,GR-02,manual_clause,CLAUSE-8.4,8.4 记录控制,质量负责人/文件管理员/最高管理者,pending,closed,TEST-COMPLETE-CLOSURE-024,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0025,CLAUSE-8.5,GR-02,manual_clause,CLAUSE-8.5,8.5 风险和机遇,质量负责人/文件管理员/最高管理者,pending,closed,TEST-COMPLETE-CLOSURE-025,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0026,CLAUSE-8.6,GR-02,manual_clause,CLAUSE-8.6,8.6 改进,质量负责人/文件管理员/最高管理者,pending,closed,TEST-COMPLETE-CLOSURE-026,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0027,CLAUSE-8.7,GR-02,manual_clause,CLAUSE-8.7,8.7 纠正措施,质量负责人/文件管理员/最高管理者,pending,closed,TEST-COMPLETE-CLOSURE-027,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0028,CLAUSE-8.8,GR-02,manual_clause,CLAUSE-8.8,8.8 内部审核,质量负责人/文件管理员/最高管理者,pending,closed,TEST-COMPLETE-CLOSURE-028,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0029,CLAUSE-8.9,GR-02,manual_clause,CLAUSE-8.9,8.9 管理评审,质量负责人/文件管理员/最高管理者,pending,closed,TEST-COMPLETE-CLOSURE-029,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0030,TEMPLATE-JL-4.1-01,GR-02,record_template,TEMPLATE-JL-4.1-01,JL-4.1-01 公正性风险识别与处置记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-030,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0031,TEMPLATE-JL-4.2-01,GR-02,record_template,TEMPLATE-JL-4.2-01,JL-4.2-01 保密承诺与权限确认记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-031,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0032,TEMPLATE-JL-5-01,GR-02,record_template,TEMPLATE-JL-5-01,JL-5-01 岗位职责与授权确认表,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-032,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0033,TEMPLATE-JL-6.2-01,GR-02,record_template,TEMPLATE-JL-6.2-01,JL-6.2-01 人员能力确认与授权记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-033,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0034,TEMPLATE-JL-6.3-01,GR-02,record_template,TEMPLATE-JL-6.3-01,JL-6.3-01 环境条件监控与异常处置记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-034,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0035,TEMPLATE-JL-6.4-01,GR-02,record_template,TEMPLATE-JL-6.4-01,JL-6.4-01 设备状态与期间核查记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-035,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0036,TEMPLATE-JL-6.5-01,GR-02,record_template,TEMPLATE-JL-6.5-01,JL-6.5-01 计量溯源结果确认记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-036,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0037,TEMPLATE-JL-6.6-01,GR-02,record_template,TEMPLATE-JL-6.6-01,JL-6.6-01 外部服务与供应品评价记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-037,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0038,TEMPLATE-JL-7.1-01,GR-02,record_template,TEMPLATE-JL-7.1-01,JL-7.1-01 合同评审记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-038,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0039,TEMPLATE-JL-7.2-01,GR-02,record_template,TEMPLATE-JL-7.2-01,JL-7.2-01 方法验证/确认记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-039,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0040,TEMPLATE-JL-7.3-01,GR-02,record_template,TEMPLATE-JL-7.3-01,JL-7.3-01 抽样条件启用评审记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-040,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0041,TEMPLATE-JL-7.4-01,GR-02,record_template,TEMPLATE-JL-7.4-01,JL-7.4-01 样品接收与异常处置记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-041,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0042,TEMPLATE-JL-7.5-01,GR-02,record_template,TEMPLATE-JL-7.5-01,JL-7.5-01 技术记录更正记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-042,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0043,TEMPLATE-JL-7.6-01,GR-02,record_template,TEMPLATE-JL-7.6-01,JL-7.6-01 测量不确定度适用性评审记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-043,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0044,TEMPLATE-JL-7.7-01,GR-02,record_template,TEMPLATE-JL-7.7-01,JL-7.7-01 结果有效性监控计划与评价记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-044,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0045,TEMPLATE-JL-7.8-01,GR-02,record_template,TEMPLATE-JL-7.8-01,JL-7.8-01 报告复核与授权签发记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-045,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0046,TEMPLATE-JL-7.9-01,GR-02,record_template,TEMPLATE-JL-7.9-01,JL-7.9-01 投诉处理记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-046,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0047,TEMPLATE-JL-7.10-01,GR-02,record_template,TEMPLATE-JL-7.10-01,JL-7.10-01 不符合工作影响评价与恢复授权记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-047,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
