gate_id,source_blocking_tasks,refreshed_blocking_tasks,accepted_task_closures,change_summary,not_imported
GR-01,0,0,0,未接受新的关闭项，阻断任务保持 0 条。,yes
GR-02,67,0,0,未接受新的关闭项，阻断任务保持 67 条。,yes
GR-03,26,0,0,未接受新的关闭项，阻断任务保持 26 条。,yes
GR-04,5,0,0,未接受新的关闭项，阻断任务保持 5 条。,yes
GR-05,28,0,0,未接受新的关闭项，阻断任务保持 28 条。,yes
GR-06,6,0,0,未接受新的关闭项，阻断任务保持 6 条。,yes
GR-07,84,0,0,未接受新的关闭项，阻断任务保持 84 条。,yes
GR-08,12,0,0,未接受新的关闭项，阻断任务保持 12 条。,yes
GR-09,8,0,0,未接受新的关闭项，阻断任务保持 8 条。,yes
GR-10,1,0,0,未接受新的关闭项，阻断任务保持 1 条。,yes
GR-11,154,0,0,未接受新的关闭项，阻断任务保持 154 条。,yes
GR-12,0,0,0,未接受新的关闭项，阻断任务保持 0 条。,yes
GR-13,1,0,0,未接受新的关闭项，阻断任务保持 1 条。,yes
