disposition_item_id,object,current_or_old_version,proposed_action,required_evidence,status,blocking_if_unresolved
OBS-001,质量手册第四版,第四版；现用受控文件,第五版批准生效后回收/标识作废；保留作废版本和修订审批记录,文件更改审批、发放回收记录、作废留存标识、培训宣贯记录,pending,yes
OBS-002,JL-4.1-01 公正性风险识别与处置记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-003,JL-4.2-01 保密承诺与权限确认记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-004,JL-5-01 岗位职责与授权确认表,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-005,JL-6.2-01 人员能力确认与授权记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-006,JL-6.3-01 环境条件监控与异常处置记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-007,JL-6.4-01 设备状态与期间核查记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-008,JL-6.5-01 计量溯源结果确认记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-009,JL-6.6-01 外部服务与供应品评价记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-010,JL-7.1-01 合同评审记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-011,JL-7.2-01 方法验证/确认记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-012,JL-7.3-01 抽样条件启用评审记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-013,JL-7.4-01 样品接收与异常处置记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-014,JL-7.5-01 技术记录更正记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-015,JL-7.6-01 测量不确定度适用性评审记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-016,JL-7.7-01 结果有效性监控计划与评价记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-017,JL-7.8-01 报告复核与授权签发记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-018,JL-7.9-01 投诉处理记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-019,JL-7.10-01 不符合工作影响评价与恢复授权记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-020,JL-7.11-01 电子表格/软件适用性确认记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-021,JL-8.3-01 文件修订评审与发布记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-022,JL-8.4-01 记录归档与借阅记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-023,JL-8.5-01 风险和机遇措施跟踪记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-024,JL-8.6-01 改进建议与效果评价记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-025,JL-8.7-01 纠正措施记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-026,JL-8.8-01 内审计划、检查表与整改验证记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-027,JL-8.9-01 管理评审输入输出及跟踪记录,现用纸质或电子表单待人工匹配,先核对现用表单；再决定替换、并行、修订或不启用,现用表单样张、字段差异、保存期限、复核批准意见,pending,yes
OBS-028,XZTC/CX-05-02-2022 仪器设备计量溯源结果确认表,LIMS 导出的编号附件/表单,确认归入程序附件、记录模板、历史附件保留、作废不导入或待补录为受控文件,05-02 原件、设备/溯源过程负责人意见、JL-6.4-01/JL-6.5-01 字段关系,pending,yes
