execution_batch_id,source_role_batch_id,owner_role,gate_id,task_group,task_count,blocking_count,evidence_rows,closure_rows,source_paths,suggested_sequence,execution_status,next_source_evidence_file,next_source_closure_file,not_imported,not_real_record
GCEB-001,GCB-001,Codex dry-run/文件管理员复核,GR-02,preapply_gate,6,0,6,6,human_review_workbench/decision_update_template.csv,1,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-002,GCB-002,业务受理/技术负责人,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,2,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-003,GCB-003,全体影响检测活动人员,GR-07,staff_learning_task,1,0,1,1,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,3,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-004,GCB-004,内审组长,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,4,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-005,GCB-005,原记录人员/复核人员,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,5,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-006,GCB-006,复核人/授权签字人,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,6,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-007,GCB-007,复核人员,GR-07,staff_learning_task,26,0,26,26,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,7,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-008,GCB-008,对应过程填写人员,GR-07,staff_learning_task,26,0,26,26,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,8,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-009,GCB-009,待人工分配,GR-09,feedback_closure,8,0,8,8,staff_training_implementation_pack/04-问题反馈与修订回填模板.csv,9,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-010,GCB-010,技术负责人,GR-03,record_template_field_confirmation,3,0,3,3,record_template_field_catalog/01-模板字段索引.csv,10,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-011,GCB-011,技术负责人/业务受理,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,11,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
