template_code,template_name,applicable_clauses,procedure_doc_numbers,responsible_position,trigger_time,field_count,required_field_count,common_field_count,specific_field_count,human_confirmation_field_count,trial_markdown_file,missing_human_inputs,catalog_markdown_file
JL-4.1-01,公正性风险识别与处置记录,4.1、8.5,XZTC/CX-07-02-2022；XZTC/CX-07-2022；XZTC/CX-17-2022；XZTC/CX-18-2022；XZTC/CX-32-2022,质量负责人,年度识别、岗位变化、客户关系变化、投诉或外部压力出现时,17,13,11,6,17,JL-4.1-01-公正性风险识别与处置记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-4.1-01-公正性风险识别与处置记录-字段字典.md
JL-4.2-01,保密承诺与权限确认记录,4.2、8.4,XZTC/CX-06-2022；XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,文件管理员/质量负责人,入职、授权、外部方接触资料前,16,12,11,5,16,JL-4.2-01-保密承诺与权限确认记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-4.2-01-保密承诺与权限确认记录-字段字典.md
JL-5-01,岗位职责与授权确认表,5、6.2,XZTC/CX-01-02-2022；XZTC/CX-01-2022；XZTC/CX-13-2022；XZTC/CX-31-2022；XZTC/CX-32-2022,最高管理者/技术负责人,岗位任命、授权或变更时,17,13,11,6,17,JL-5-01-岗位职责与授权确认表-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-5-01-岗位职责与授权确认表-字段字典.md
JL-6.2-01,人员能力确认与授权记录,6.2,XZTC/CX-01-02-2022；XZTC/CX-01-2022；XZTC/CX-31-2022,技术负责人,上岗、扩项、复授权时,17,13,11,6,17,JL-6.2-01-人员能力确认与授权记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-6.2-01-人员能力确认与授权记录-字段字典.md
JL-6.3-01,环境条件监控与异常处置记录,6.3,XZTC/CX-02-2022；XZTC/CX-31-2022；XZTC/CX-33-2022,检测人员/监督员,每日/每班/方法要求频次及异常时,18,14,11,7,18,JL-6.3-01-环境条件监控与异常处置记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-6.3-01-环境条件监控与异常处置记录-字段字典.md
JL-6.4-01,设备状态与期间核查记录,6.4、7.7,XZTC/CX-03-02-2022；XZTC/CX-03-2022；XZTC/CX-04-2022；XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-30-2022；XZTC/CX-34-2022,设备管理员,设备使用前、期间核查、异常恢复时,17,13,11,6,17,JL-6.4-01-设备状态与期间核查记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-6.4-01-设备状态与期间核查记录-字段字典.md
JL-6.5-01,计量溯源结果确认记录,6.5,XZTC/CX-03-02-2022；XZTC/CX-05-2022,设备管理员/技术负责人,校准/检定证书接收后,16,12,11,5,16,JL-6.5-01-计量溯源结果确认记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-6.5-01-计量溯源结果确认记录-字段字典.md
JL-6.6-01,外部服务与供应品评价记录,6.6,XZTC/CX-11-2022；XZTC/CX-19-2022；XZTC/CX-32-2022,采购/质量负责人,供方准入、采购验收、再评价时,16,12,11,5,16,JL-6.6-01-外部服务与供应品评价记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-6.6-01-外部服务与供应品评价记录-字段字典.md
JL-7.1-01,合同评审记录,7.1,XZTC/CX-08-2022；XZTC/CX-09-2022；XZTC/CX-12-2022,业务受理/技术负责人,接受检测任务前及合同变更时,18,14,11,7,18,JL-7.1-01-合同评审记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-7.1-01-合同评审记录-字段字典.md
JL-7.2-01,方法验证/确认记录,7.2,XZTC/CX-22-2022；XZTC/CX-23-2022；XZTC/CX-24-2022；XZTC/CX-27-2022,技术负责人,方法投入使用、变更或扩项前,17,13,11,6,17,JL-7.2-01-方法验证确认记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-7.2-01-方法验证-确认记录-字段字典.md
JL-7.3-01,抽样条件启用评审记录,7.3,XZTC/CX-09-2022；XZTC/CX-28-2022；XZTC/CX-35-2022,技术负责人/业务受理,合同或标准要求公司承担抽样时,17,13,11,6,17,JL-7.3-01-抽样条件启用评审记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-7.3-01-抽样条件启用评审记录-字段字典.md
JL-7.4-01,样品接收与异常处置记录,7.4,XZTC/CX-06-2022；XZTC/CX-25-2022；XZTC/CX-28-2022,样品管理员,样品接收、流转、异常发现时,17,13,11,6,17,JL-7.4-01-样品接收与异常处置记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-7.4-01-样品接收与异常处置记录-字段字典.md
