review_item_id,review_type,doc_number,name,applicable_clauses,procedure_doc_numbers,attachment_form_doc_numbers,responsible_position,trigger_time,field_count,missing_common_schema_keys,needs_current_form_match,needs_retention_period,needs_confidentiality_level,reviewer_role,human_decision,blocking_if_unresolved,review_note
TEMPLATE-JL-4.1-01,record_template,JL-4.1-01,公正性风险识别与处置记录,4.1、8.5,XZTC/CX-07-02-2022；XZTC/CX-07-2022；XZTC/CX-17-2022；XZTC/CX-18-2022；XZTC/CX-32-2022,,质量负责人,年度识别、岗位变化、客户关系变化、投诉或外部压力出现时,17,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-4.2-01,record_template,JL-4.2-01,保密承诺与权限确认记录,4.2、8.4,XZTC/CX-06-2022；XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,,文件管理员/质量负责人,入职、授权、外部方接触资料前,16,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-5-01,record_template,JL-5-01,岗位职责与授权确认表,5、6.2,XZTC/CX-01-02-2022；XZTC/CX-01-2022；XZTC/CX-13-2022；XZTC/CX-31-2022；XZTC/CX-32-2022,,最高管理者/技术负责人,岗位任命、授权或变更时,17,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-6.2-01,record_template,JL-6.2-01,人员能力确认与授权记录,6.2,XZTC/CX-01-02-2022；XZTC/CX-01-2022；XZTC/CX-31-2022,,技术负责人,上岗、扩项、复授权时,17,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-6.3-01,record_template,JL-6.3-01,环境条件监控与异常处置记录,6.3,XZTC/CX-02-2022；XZTC/CX-31-2022；XZTC/CX-33-2022,,检测人员/监督员,每日/每班/方法要求频次及异常时,18,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-6.4-01,record_template,JL-6.4-01,设备状态与期间核查记录,6.4、7.7,XZTC/CX-03-02-2022；XZTC/CX-03-2022；XZTC/CX-04-2022；XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-30-2022；XZTC/CX-34-2022,XZTC/CX-05-02-2022,设备管理员,设备使用前、期间核查、异常恢复时,17,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-6.5-01,record_template,JL-6.5-01,计量溯源结果确认记录,6.5,XZTC/CX-03-02-2022；XZTC/CX-05-2022,XZTC/CX-05-02-2022,设备管理员/技术负责人,校准/检定证书接收后,16,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-6.6-01,record_template,JL-6.6-01,外部服务与供应品评价记录,6.6,XZTC/CX-11-2022；XZTC/CX-19-2022；XZTC/CX-32-2022,,采购/质量负责人,供方准入、采购验收、再评价时,16,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-7.1-01,record_template,JL-7.1-01,合同评审记录,7.1,XZTC/CX-08-2022；XZTC/CX-09-2022；XZTC/CX-12-2022,,业务受理/技术负责人,接受检测任务前及合同变更时,18,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-7.2-01,record_template,JL-7.2-01,方法验证/确认记录,7.2,XZTC/CX-22-2022；XZTC/CX-23-2022；XZTC/CX-24-2022；XZTC/CX-27-2022,,技术负责人,方法投入使用、变更或扩项前,17,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
