preview_action,target_table,write_now,company_id,id_policy,structured_document_resolution,document_id_resolution,stable_key,section_number,title,block_type,markdown_policy,sort_order,source_locator,status_plan,publish_plan,soft_delete_plan,link_confidence,phase_dependency
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_4_1,4.1,公正性,control_requirement,extract_from_candidate_manual_after_human_review,1,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_4_2,4.2,保密性,control_requirement,extract_from_candidate_manual_after_human_review,2,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_5,5,结构要求,control_requirement,extract_from_candidate_manual_after_human_review,3,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_6_1,6.1,资源总则,control_requirement,extract_from_candidate_manual_after_human_review,4,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_6_2,6.2,人员,control_requirement,extract_from_candidate_manual_after_human_review,5,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_6_3,6.3,设施环境,control_requirement,extract_from_candidate_manual_after_human_review,6,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_6_4,6.4,设备,control_requirement,extract_from_candidate_manual_after_human_review,7,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_6_5,6.5,计量溯源性,control_requirement,extract_from_candidate_manual_after_human_review,8,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_6_6,6.6,外部产品和服务,control_requirement,extract_from_candidate_manual_after_human_review,9,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_7_1,7.1,合同评审,control_requirement,extract_from_candidate_manual_after_human_review,10,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
