id	structured_document_id	block_id	change_type	revision_note	created	soft_delete
1a4ae7b8-2662-4004-9ad5-4a237a15a53f	1873d748-8053-4f8a-8f32-86cff3eaf66d	ee01a817-afe3-4538-b6a0-18d9e83ec748	block_update	组合包影响清单跳转 smoke：XZTC/CX-26-2022 记录要求	2026-07-16 00:48:22	0
db38fb74-80cc-4342-8ada-164aeeebbff6	1873d748-8053-4f8a-8f32-86cff3eaf66d	f624ed07-05dd-4eef-8eb7-4a016330f200	block_update	条款经要素推导证据 smoke：7.11 经临时要素指向 XZTC/CX-26-2022 记录要求	2026-07-11 18:36:56	1
49a63a8f-e292-49b9-9cf1-5392c0ba92bb	1873d748-8053-4f8a-8f32-86cff3eaf66d	f624ed07-05dd-4eef-8eb7-4a016330f200	block_update	条款结构块证据 smoke：7.11 对应计算机文件及数据控制程序记录要求	2026-07-11 18:37:04	1
75e1fde8-2ffa-4e68-b8c1-80bb93762758	1873d748-8053-4f8a-8f32-86cff3eaf66d	NULL	version_update	变更单 MVP smoke：保存影响分析 20260711183827	2026-07-11 18:38:27	1
3a365e47-a35c-410b-a88f-9b3a7e892e88	1873d748-8053-4f8a-8f32-86cff3eaf66d	199a48d7-1c7a-42d1-98d9-d8e31b912009	block_update	结构块证据详情 smoke：要素详情能点回具体内容块	2026-07-11 18:38:43	1
43aeb6d2-b165-43e8-9309-5b2e64579850	1873d748-8053-4f8a-8f32-86cff3eaf66d	199a48d7-1c7a-42d1-98d9-d8e31b912009	block_update	结构块证据详情 smoke：要素详情能点回具体内容块	2026-07-11 18:38:59	1
8ac0cb78-e24c-4f2e-8447-6c99e6cb9d30	1873d748-8053-4f8a-8f32-86cff3eaf66d	199a48d7-1c7a-42d1-98d9-d8e31b912009	block_update	恢复结构化内容块编辑 smoke	2026-07-11 18:40:11	1
cda68fba-78e7-405c-90d0-4356d6487b15	1873d748-8053-4f8a-8f32-86cff3eaf66d	199a48d7-1c7a-42d1-98d9-d8e31b912009	block_update	结构化内容块编辑 smoke	2026-07-11 18:40:11	1
38b05c69-8505-4f2c-b310-fbf98e452697	1873d748-8053-4f8a-8f32-86cff3eaf66d	199a48d7-1c7a-42d1-98d9-d8e31b912009	block_update	结构化变更控制 smoke：补充记录要求说明	2026-07-11 18:40:19	1
e51bdc7f-442d-401f-b814-a67ae103fe57	1873d748-8053-4f8a-8f32-86cff3eaf66d	199a48d7-1c7a-42d1-98d9-d8e31b912009	block_update	恢复 smoke 测试内容	2026-07-11 18:40:19	1
3d13ef55-eaaf-4177-9c5b-fe65811028e1	1873d748-8053-4f8a-8f32-86cff3eaf66d	199a48d7-1c7a-42d1-98d9-d8e31b912009	block_update	发布 smoke：草稿修改后等待复核	2026-07-11 18:40:34	1
8fc76481-3646-4fca-acb4-9aa9f7d0b1de	1873d748-8053-4f8a-8f32-86cff3eaf66d	NULL	status_change	发布 smoke：复核通过，可以进入组合包	2026-07-11 18:40:35	1
76342a70-b3c2-48c7-a9df-6f316f365a51	1873d748-8053-4f8a-8f32-86cff3eaf66d	199a48d7-1c7a-42d1-98d9-d8e31b912009	block_update	恢复发布 smoke 测试内容	2026-07-11 18:40:36	1
2ef50652-209a-4e93-94eb-43ee072c0a44	1873d748-8053-4f8a-8f32-86cff3eaf66d	199a48d7-1c7a-42d1-98d9-d8e31b912009	block_update	结构化追溯复核 smoke：删除测试岗位映射	2026-07-11 18:40:52	1
e01d6866-75b4-4722-84ed-f4485066ffd7	1873d748-8053-4f8a-8f32-86cff3eaf66d	199a48d7-1c7a-42d1-98d9-d8e31b912009	block_update	结构化追溯复核 smoke：资料管理员负责计算机软件记录	2026-07-11 18:40:52	1
4a3b44e7-751e-483b-897d-aa7394e4a9cf	1873d748-8053-4f8a-8f32-86cff3eaf66d	199a48d7-1c7a-42d1-98d9-d8e31b912009	block_update	结构块追溯矩阵 smoke：块级证据覆盖记录、岗位和运行模块\n字段schema来源：候选schema草稿已人工保存；来源记录要求块：matrix-smoke-block；智能体建议：matrix-smoke-suggestion	2026-07-11 18:41:02	1
