decision_item_id,scope,target_key,section_number,target_type,target_code,allowed_decisions,proposed_human_decision,review_comment,required_evidence,blocking_if_unresolved,not_imported
STG2-BLOCK-001,block,manual_v5_candidate_4_1,4.1,manual_block,manual_v5_candidate_4_1,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-002,block,manual_v5_candidate_4_2,4.2,manual_block,manual_v5_candidate_4_2,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-003,block,manual_v5_candidate_5,5,manual_block,manual_v5_candidate_5,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-004,block,manual_v5_candidate_6_1,6.1,manual_block,manual_v5_candidate_6_1,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-005,block,manual_v5_candidate_6_2,6.2,manual_block,manual_v5_candidate_6_2,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-006,block,manual_v5_candidate_6_3,6.3,manual_block,manual_v5_candidate_6_3,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-007,block,manual_v5_candidate_6_4,6.4,manual_block,manual_v5_candidate_6_4,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-008,block,manual_v5_candidate_6_5,6.5,manual_block,manual_v5_candidate_6_5,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-009,block,manual_v5_candidate_6_6,6.6,manual_block,manual_v5_candidate_6_6,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-010,block,manual_v5_candidate_7_1,7.1,manual_block,manual_v5_candidate_7_1,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-011,block,manual_v5_candidate_7_2,7.2,manual_block,manual_v5_candidate_7_2,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-012,block,manual_v5_candidate_7_3,7.3,manual_block,manual_v5_candidate_7_3,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-013,block,manual_v5_candidate_7_4,7.4,manual_block,manual_v5_candidate_7_4,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-014,block,manual_v5_candidate_7_5,7.5,manual_block,manual_v5_candidate_7_5,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-015,block,manual_v5_candidate_7_6,7.6,manual_block,manual_v5_candidate_7_6,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-016,block,manual_v5_candidate_7_7,7.7,manual_block,manual_v5_candidate_7_7,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-017,block,manual_v5_candidate_7_8,7.8,manual_block,manual_v5_candidate_7_8,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-018,block,manual_v5_candidate_7_9,7.9,manual_block,manual_v5_candidate_7_9,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-019,block,manual_v5_candidate_7_10,7.10,manual_block,manual_v5_candidate_7_10,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-020,block,manual_v5_candidate_7_11,7.11,manual_block,manual_v5_candidate_7_11,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-021,block,manual_v5_candidate_8_1,8.1,manual_block,manual_v5_candidate_8_1,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-022,block,manual_v5_candidate_8_2,8.2,manual_block,manual_v5_candidate_8_2,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-023,block,manual_v5_candidate_8_3,8.3,manual_block,manual_v5_candidate_8_3,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
