closure_item_id,source_task_id,gate_id,task_group,object_code,object_name,owner_role,source_current_status,proposed_closure_status,normalized_closure_status,closure_evidence_reference,evidence_template_reference,evidence_owner,evidence_date,evidence_result,closure_comment,reviewer,review_date,preview_result,will_remain_blocking,issue,required_evidence,not_imported
GC-0001,CLAUSE-4.1,GR-02,manual_clause,CLAUSE-4.1,4.1 公正性,最高管理者/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-001,TEST-COMPLETE-TEMPLATE-001,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0002,CLAUSE-4.2,GR-02,manual_clause,CLAUSE-4.2,4.2 保密性,最高管理者/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-002,TEST-COMPLETE-TEMPLATE-002,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0003,CLAUSE-5,GR-02,manual_clause,CLAUSE-5,5 结构要求,最高管理者/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-003,TEST-COMPLETE-TEMPLATE-003,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0004,CLAUSE-6.1,GR-02,manual_clause,CLAUSE-6.1,6.1 资源总则,质量负责人/相关过程负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-004,TEST-COMPLETE-TEMPLATE-004,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0005,CLAUSE-6.2,GR-02,manual_clause,CLAUSE-6.2,6.2 人员,质量负责人/相关过程负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-005,TEST-COMPLETE-TEMPLATE-005,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0006,CLAUSE-6.3,GR-02,manual_clause,CLAUSE-6.3,6.3 设施环境,质量负责人/相关过程负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-006,TEST-COMPLETE-TEMPLATE-006,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0007,CLAUSE-6.4,GR-02,manual_clause,CLAUSE-6.4,6.4 设备,设备管理员/技术负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-007,TEST-COMPLETE-TEMPLATE-007,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0008,CLAUSE-6.5,GR-02,manual_clause,CLAUSE-6.5,6.5 计量溯源性,设备管理员/技术负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-008,TEST-COMPLETE-TEMPLATE-008,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0009,CLAUSE-6.6,GR-02,manual_clause,CLAUSE-6.6,6.6 外部产品和服务,质量负责人/相关过程负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-009,TEST-COMPLETE-TEMPLATE-009,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0010,CLAUSE-7.1,GR-02,manual_clause,CLAUSE-7.1,7.1 合同评审,技术负责人/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-010,TEST-COMPLETE-TEMPLATE-010,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0011,CLAUSE-7.2,GR-02,manual_clause,CLAUSE-7.2,7.2 方法,技术负责人/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-011,TEST-COMPLETE-TEMPLATE-011,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0012,CLAUSE-7.3,GR-02,manual_clause,CLAUSE-7.3,7.3 抽样,技术负责人/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-012,TEST-COMPLETE-TEMPLATE-012,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0013,CLAUSE-7.4,GR-02,manual_clause,CLAUSE-7.4,7.4 样品处置,技术负责人/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-013,TEST-COMPLETE-TEMPLATE-013,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0014,CLAUSE-7.5,GR-02,manual_clause,CLAUSE-7.5,7.5 技术记录,技术负责人/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-014,TEST-COMPLETE-TEMPLATE-014,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
