task_id,gate_id,task_group,object_code,object_name,owner_role,current_status,source_path,human_action,evidence_to_check,blocking_if_unresolved,not_real_record
CLAUSE-4.1,GR-02,manual_clause,CLAUSE-4.1,4.1 公正性,最高管理者/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-4.2,GR-02,manual_clause,CLAUSE-4.2,4.2 保密性,最高管理者/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-5,GR-02,manual_clause,CLAUSE-5,5 结构要求,最高管理者/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-6.1,GR-02,manual_clause,CLAUSE-6.1,6.1 资源总则,质量负责人/相关过程负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-6.2,GR-02,manual_clause,CLAUSE-6.2,6.2 人员,质量负责人/相关过程负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-6.3,GR-02,manual_clause,CLAUSE-6.3,6.3 设施环境,质量负责人/相关过程负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-6.4,GR-02,manual_clause,CLAUSE-6.4,6.4 设备,设备管理员/技术负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-6.5,GR-02,manual_clause,CLAUSE-6.5,6.5 计量溯源性,设备管理员/技术负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-6.6,GR-02,manual_clause,CLAUSE-6.6,6.6 外部产品和服务,质量负责人/相关过程负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-7.1,GR-02,manual_clause,CLAUSE-7.1,7.1 合同评审,技术负责人/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-7.2,GR-02,manual_clause,CLAUSE-7.2,7.2 方法,技术负责人/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-7.3,GR-02,manual_clause,CLAUSE-7.3,7.3 抽样,技术负责人/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-7.4,GR-02,manual_clause,CLAUSE-7.4,7.4 样品处置,技术负责人/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-7.5,GR-02,manual_clause,CLAUSE-7.5,7.5 技术记录,技术负责人/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-7.6,GR-02,manual_clause,CLAUSE-7.6,7.6 测量不确定度,技术负责人/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-7.7,GR-02,manual_clause,CLAUSE-7.7,7.7 结果有效性,技术负责人/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-7.8,GR-02,manual_clause,CLAUSE-7.8,7.8 报告结果,技术负责人/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-7.9,GR-02,manual_clause,CLAUSE-7.9,7.9 投诉,技术负责人/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-7.10,GR-02,manual_clause,CLAUSE-7.10,7.10 不符合工作,技术负责人/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-7.11,GR-02,manual_clause,CLAUSE-7.11,7.11 数据控制与信息管理,技术负责人/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-8.1,GR-02,manual_clause,CLAUSE-8.1,8.1 管理体系方式,质量负责人/文件管理员/最高管理者,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-8.2,GR-02,manual_clause,CLAUSE-8.2,8.2 管理体系文件,质量负责人/文件管理员/最高管理者,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-8.3,GR-02,manual_clause,CLAUSE-8.3,8.3 文件控制,质量负责人/文件管理员/最高管理者,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-8.4,GR-02,manual_clause,CLAUSE-8.4,8.4 记录控制,质量负责人/文件管理员/最高管理者,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-8.5,GR-02,manual_clause,CLAUSE-8.5,8.5 风险和机遇,质量负责人/文件管理员/最高管理者,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-8.6,GR-02,manual_clause,CLAUSE-8.6,8.6 改进,质量负责人/文件管理员/最高管理者,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-8.7,GR-02,manual_clause,CLAUSE-8.7,8.7 纠正措施,质量负责人/文件管理员/最高管理者,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-8.8,GR-02,manual_clause,CLAUSE-8.8,8.8 内部审核,质量负责人/文件管理员/最高管理者,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
CLAUSE-8.9,GR-02,manual_clause,CLAUSE-8.9,8.9 管理评审,质量负责人/文件管理员/最高管理者,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,no,yes
TEMPLATE-JL-4.1-01,GR-02,record_template,TEMPLATE-JL-4.1-01,JL-4.1-01 公正性风险识别与处置记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-4.2-01,GR-02,record_template,TEMPLATE-JL-4.2-01,JL-4.2-01 保密承诺与权限确认记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-5-01,GR-02,record_template,TEMPLATE-JL-5-01,JL-5-01 岗位职责与授权确认表,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-6.2-01,GR-02,record_template,TEMPLATE-JL-6.2-01,JL-6.2-01 人员能力确认与授权记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-6.3-01,GR-02,record_template,TEMPLATE-JL-6.3-01,JL-6.3-01 环境条件监控与异常处置记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-6.4-01,GR-02,record_template,TEMPLATE-JL-6.4-01,JL-6.4-01 设备状态与期间核查记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-6.5-01,GR-02,record_template,TEMPLATE-JL-6.5-01,JL-6.5-01 计量溯源结果确认记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-6.6-01,GR-02,record_template,TEMPLATE-JL-6.6-01,JL-6.6-01 外部服务与供应品评价记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-7.1-01,GR-02,record_template,TEMPLATE-JL-7.1-01,JL-7.1-01 合同评审记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-7.2-01,GR-02,record_template,TEMPLATE-JL-7.2-01,JL-7.2-01 方法验证/确认记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-7.3-01,GR-02,record_template,TEMPLATE-JL-7.3-01,JL-7.3-01 抽样条件启用评审记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-7.4-01,GR-02,record_template,TEMPLATE-JL-7.4-01,JL-7.4-01 样品接收与异常处置记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-7.5-01,GR-02,record_template,TEMPLATE-JL-7.5-01,JL-7.5-01 技术记录更正记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-7.6-01,GR-02,record_template,TEMPLATE-JL-7.6-01,JL-7.6-01 测量不确定度适用性评审记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-7.7-01,GR-02,record_template,TEMPLATE-JL-7.7-01,JL-7.7-01 结果有效性监控计划与评价记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-7.8-01,GR-02,record_template,TEMPLATE-JL-7.8-01,JL-7.8-01 报告复核与授权签发记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-7.9-01,GR-02,record_template,TEMPLATE-JL-7.9-01,JL-7.9-01 投诉处理记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-7.10-01,GR-02,record_template,TEMPLATE-JL-7.10-01,JL-7.10-01 不符合工作影响评价与恢复授权记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-7.11-01,GR-02,record_template,TEMPLATE-JL-7.11-01,JL-7.11-01 电子表格/软件适用性确认记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-8.3-01,GR-02,record_template,TEMPLATE-JL-8.3-01,JL-8.3-01 文件修订评审与发布记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-8.4-01,GR-02,record_template,TEMPLATE-JL-8.4-01,JL-8.4-01 记录归档与借阅记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-8.5-01,GR-02,record_template,TEMPLATE-JL-8.5-01,JL-8.5-01 风险和机遇措施跟踪记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-8.6-01,GR-02,record_template,TEMPLATE-JL-8.6-01,JL-8.6-01 改进建议与效果评价记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-8.7-01,GR-02,record_template,TEMPLATE-JL-8.7-01,JL-8.7-01 纠正措施记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-8.8-01,GR-02,record_template,TEMPLATE-JL-8.8-01,JL-8.8-01 内审计划、检查表与整改验证记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
TEMPLATE-JL-8.9-01,GR-02,record_template,TEMPLATE-JL-8.9-01,JL-8.9-01 管理评审输入输出及跟踪记录,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,no,yes
ATTACHMENT-XZTC/CX-05-02-2022,GR-02,attachment_form_disposition,ATTACHMENT-XZTC/CX-05-02-2022,XZTC/CX-05-02-2022 仪器设备计量溯源结果确认表,文件管理员/设备管理员/技术负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,确认 05-02 归属、字段、保存要求和与 JL-6.4-01/JL-6.5-01 的关系。,no,yes
GATE-01,GR-02,preapply_gate,GATE-01,候选修订包门禁,Codex dry-run/文件管理员复核,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,"17-候选修订包验证报告.json: passed, findings=0",no,yes
GATE-02,GR-02,preapply_gate,GATE-02,LIMS 预导入包结构 dry-run,Codex dry-run/文件管理员复核,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,"18-LIMS预导入包dry-run验证报告.json: passed, findings=0",no,yes
GATE-03,GR-02,preapply_gate,GATE-03,记录模板模拟试填,Codex dry-run/文件管理员复核,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,"20-记录模板试填dry-run验证报告.json: passed, findings=0",no,yes
GATE-04,GR-02,preapply_gate,GATE-04,记录模板全量模拟试填,Codex dry-run/文件管理员复核,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,"25-记录模板全量试填dry-run验证报告.json: passed, findings=0",no,yes
GATE-05,GR-02,preapply_gate,GATE-05,LIMS 命令层 dry-run,Codex dry-run/文件管理员复核,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,"21-LIMS预导入命令dry-run报告.json: passed, findings=0",no,yes
GATE-06,GR-02,preapply_gate,GATE-06,未确认 apply 阻断,Codex dry-run/文件管理员复核,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,"22-LIMS预导入apply闸门验证报告.json: blocked, findings=1",no,yes
GATE-07,GR-02,preapply_gate,GATE-07,候选手册人工评审,文件管理员/质量负责人/最高管理者,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,pending_human_review,no,yes
