patch_id,return_item_id,closure_item_id,target_file,target_row_key,target_field,current_value,proposed_value,proposed_value_source,patch_action,update_ready,block_reason,ready_for_manual_source_update,not_imported,not_real_record,no_source_modified
GCPSU-001,GCPR-001,GC-0076,governance_closure_workbench/03-证据采集模板.csv,GC-0076,evidence_reference,,TEST-COMPLETE-SOURCE-001,proposed_evidence_reference,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-002,GCPR-001,GC-0076,governance_closure_workbench/03-证据采集模板.csv,GC-0076,evidence_owner,,TEST-COMPLETE-SOURCE-002,proposed_reviewer,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-003,GCPR-001,GC-0076,governance_closure_workbench/03-证据采集模板.csv,GC-0076,evidence_date,,TEST-COMPLETE-SOURCE-003,proposed_review_date,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-004,GCPR-001,GC-0076,governance_closure_workbench/03-证据采集模板.csv,GC-0076,evidence_result,,TEST-COMPLETE-SOURCE-004,proposed_evidence_summary,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-005,GCPR-001,GC-0076,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0076,evidence_reference,,TEST-COMPLETE-SOURCE-005,proposed_evidence_reference,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-006,GCPR-001,GC-0076,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0076,closure_comment,,TEST-COMPLETE-SOURCE-006,proposed_closure_comment,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-007,GCPR-001,GC-0076,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0076,reviewer,,TEST-COMPLETE-SOURCE-007,proposed_reviewer,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-008,GCPR-001,GC-0076,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0076,review_date,,TEST-COMPLETE-SOURCE-008,proposed_review_date,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-009,GCPR-001,GC-0076,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0076,proposed_closure_status,,TEST-COMPLETE-SOURCE-009,__closed_when_ready__,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-010,GCPR-001,GC-0076,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0076,closure_result,pending,TEST-COMPLETE-SOURCE-010,__closed_when_ready__,manual_update_candidate,yes,,yes,yes,yes,yes
