review_item_id,review_type,clause,manual_topic,procedure_doc_numbers,attachment_form_doc_numbers,record_template_numbers,lims_governance_point,verification_method,reviewer_role,human_decision,required_evidence,blocking_if_unresolved,review_note
CLAUSE-4.1,manual_clause,4.1,公正性,XZTC/CX-07-02-2022；XZTC/CX-07-2022；XZTC/CX-32-2022,,JL-4.1-01,公正性风险清单、承诺记录、措施跟踪,查记录、访谈管理层和检测人员,最高管理者/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-4.2,manual_clause,4.2,保密性,XZTC/CX-06-2022；XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,,JL-4.2-01,权限、保密承诺、查阅控制,查权限和保密承诺,最高管理者/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-5,manual_clause,5,结构要求,XZTC/CX-01-02-2022；XZTC/CX-13-2022；XZTC/CX-32-2022,,JL-5-01,组织架构、岗位、授权、变更,查任命和授权,最高管理者/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-6.1,manual_clause,6.1,资源总则,XZTC/CX-01-02-2022；XZTC/CX-02-2022；XZTC/CX-03-2022；XZTC/CX-11-2022,,JL-5-01,资源台账、资源不足风险,抽查资源与活动匹配,质量负责人/相关过程负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-6.2,manual_clause,6.2,人员,XZTC/CX-01-02-2022；XZTC/CX-01-2022；XZTC/CX-31-2022,,JL-6.2-01,人员档案、培训、能力、授权,抽查授权人员档案,质量负责人/相关过程负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-6.3,manual_clause,6.3,设施环境,XZTC/CX-02-2022；XZTC/CX-31-2022；XZTC/CX-33-2022,,JL-6.3-01,环境监控、异常处置、区域权限,查环境记录和现场,质量负责人/相关过程负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-6.4,manual_clause,6.4,设备,XZTC/CX-03-02-2022；XZTC/CX-03-2022；XZTC/CX-04-2022,XZTC/CX-05-02-2022,JL-6.4-01,设备台账、核查、维护、状态,抽查设备档案,设备管理员/技术负责人/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-6.5,manual_clause,6.5,计量溯源性,XZTC/CX-03-02-2022；XZTC/CX-05-2022,XZTC/CX-05-02-2022,JL-6.5-01,校准证书、溯源确认、使用限制,查证书和确认表,设备管理员/技术负责人/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-6.6,manual_clause,6.6,外部产品和服务,XZTC/CX-11-2022；XZTC/CX-19-2022；XZTC/CX-32-2022,,JL-6.6-01,供方评价、采购验收,抽查供方档案,质量负责人/相关过程负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-7.1,manual_clause,7.1,合同评审,XZTC/CX-08-2022；XZTC/CX-09-2022；XZTC/CX-12-2022,,JL-7.1-01,委托、评审、变更、客户沟通,抽查委托单,技术负责人/相关过程负责人/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-7.2,manual_clause,7.2,方法,XZTC/CX-22-2022；XZTC/CX-23-2022；XZTC/CX-24-2022；XZTC/CX-27-2022,,JL-7.2-01,方法库、验证/确认、偏离,查方法验证和偏离,技术负责人/相关过程负责人/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-7.3,manual_clause,7.3,抽样,XZTC/CX-09-2022；XZTC/CX-28-2022；XZTC/CX-35-2022,,JL-7.3-01,当前不承担抽样声明、条件启用,查报告声明和合同,技术负责人/相关过程负责人/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-7.4,manual_clause,7.4,样品处置,XZTC/CX-06-2022；XZTC/CX-25-2022；XZTC/CX-28-2022,,JL-7.4-01,样品唯一标识、流转、异常,现场抽查样品,技术负责人/相关过程负责人/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-7.5,manual_clause,7.5,技术记录,XZTC/CX-19-2022；XZTC/CX-25-2022；XZTC/CX-26-2022,,JL-7.5-01,原始记录、修改留痕、复核,查原始记录,技术负责人/相关过程负责人/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-7.6,manual_clause,7.6,测量不确定度,XZTC/CX-22-2022；XZTC/CX-27-2022；XZTC/CX-30-2022,,JL-7.6-01,不确定度评定、符合性声明,抽查报告和评定,技术负责人/相关过程负责人/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-7.7,manual_clause,7.7,结果有效性,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-30-2022；XZTC/CX-34-2022,,JL-7.7-01,质控计划、能力验证、比对,查质控数据,技术负责人/相关过程负责人/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-7.8,manual_clause,7.8,报告结果,XZTC/CX-06-2022；XZTC/CX-26-2022；XZTC/CX-29-2022,,JL-7.8-01,报告复核、授权签发、修订,抽查报告,技术负责人/相关过程负责人/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-7.9,manual_clause,7.9,投诉,XZTC/CX-14-2022；XZTC/CX-15-2022；XZTC/CX-16-2022,,JL-7.9-01,投诉登记、调查、回复、关闭,查投诉记录,技术负责人/相关过程负责人/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-7.10,manual_clause,7.10,不符合工作,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-32-2022,,JL-7.10-01,不符合、影响评价、恢复授权,查不符合闭环,技术负责人/相关过程负责人/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
CLAUSE-7.11,manual_clause,7.11,数据控制与信息管理,XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,,JL-7.11-01,软件/表格确认、权限、备份,查表格确认和备份,技术负责人/相关过程负责人/质量负责人,approved,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,人工评审包，不写数据库，不代表受控批准。
