training_item_id,topic,source_object,audience,trigger,required_before_effective,training_evidence,status,not_real_record
TRN-001,第五版质量手册主要变化宣贯,XZTC/SC,全体影响检测活动人员；管理层；授权签字人,第五版批准后、生效前,yes,培训计划、签到、考核或效果确认、问题答疑记录,pending,yes
TRN-002,LIMS 2022 程序目录现行状态确认,37 个现行 2022 程序文件,文件管理员；质量负责人；相关过程负责人,第五版候选稿人工评审时,yes,现行目录确认、发放范围核对、变更说明,pending,yes
TRN-003,jewelry-qms 建设中系统使用边界,14-jewelry-qms实施计划与验证方案.md,文件管理员；质量负责人；系统管理员；试运行人员,系统试运行前,no,试运行说明、权限培训、数据备份恢复和审计追踪确认记录,pending,yes
TRN-004,候选记录模板填写与更正规则,JL-4.1-01 公正性风险识别与处置记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-005,候选记录模板填写与更正规则,JL-4.2-01 保密承诺与权限确认记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-006,候选记录模板填写与更正规则,JL-5-01 岗位职责与授权确认表,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-007,候选记录模板填写与更正规则,JL-6.2-01 人员能力确认与授权记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-008,候选记录模板填写与更正规则,JL-6.3-01 环境条件监控与异常处置记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-009,候选记录模板填写与更正规则,JL-6.4-01 设备状态与期间核查记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-010,候选记录模板填写与更正规则,JL-6.5-01 计量溯源结果确认记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
