handoff_check_id,execution_batch_id,owner_role,gate_id,task_group,required_input_files,required_fields,downstream_preview,downstream_refresh,check_status,blocks_apply,not_imported,not_real_record
GCEH-001,GCEB-001,Codex dry-run/文件管理员复核,GR-02,preapply_gate,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-002,GCEB-002,业务受理/技术负责人,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-003,GCEB-003,全体影响检测活动人员,GR-07,staff_learning_task,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-004,GCEB-004,内审组长,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-005,GCEB-005,原记录人员/复核人员,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-006,GCEB-006,复核人/授权签字人,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-007,GCEB-007,复核人员,GR-07,staff_learning_task,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-008,GCEB-008,对应过程填写人员,GR-07,staff_learning_task,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-009,GCEB-009,待人工分配,GR-09,feedback_closure,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-010,GCEB-010,技术负责人,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-011,GCEB-011,技术负责人/业务受理,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
