review_item_id,stable_key,section_number,block_title,target_type,target_code,target_id_resolution,relation_type,confidence,source_column,review_focus,human_decision,reviewer_role,review_comment,blocking_if_unresolved,not_imported
STG2-LINK-001,manual_v5_candidate_4_1,4.1,公正性,procedure_document,XZTC/CX-07-02-2022,existing_document:e963e5fb-9a5c-4cfe-9215-7fd3ee020ab8,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-002,manual_v5_candidate_4_1,4.1,公正性,procedure_document,XZTC/CX-07-2022,existing_document:1f1a940b-8056-4a43-9e59-ec6554e2efcd,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-003,manual_v5_candidate_4_1,4.1,公正性,procedure_document,XZTC/CX-32-2022,existing_document:1ecf0642-c1a6-4b52-bfcb-2ae42bf71948,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-004,manual_v5_candidate_4_1,4.1,公正性,record_form_template,JL-4.1-01,candidate_record_template_after_phase1_apply,requires_record,review_required,record_template_numbers,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-005,manual_v5_candidate_4_2,4.2,保密性,procedure_document,XZTC/CX-06-2022,existing_document:0f711c80-d608-48e4-97a6-5c8f7b559c65,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-006,manual_v5_candidate_4_2,4.2,保密性,procedure_document,XZTC/CX-08-2022,existing_document:a12b02c2-21f7-4001-b8ee-4ee9d9567135,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-007,manual_v5_candidate_4_2,4.2,保密性,procedure_document,XZTC/CX-19-2022,existing_document:08a10a34-01c9-4837-aad7-86290d378669,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-008,manual_v5_candidate_4_2,4.2,保密性,procedure_document,XZTC/CX-26-2022,existing_document:6d5eeaed-64c1-468c-9034-dc0d0e7c72b7,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-009,manual_v5_candidate_4_2,4.2,保密性,record_form_template,JL-4.2-01,candidate_record_template_after_phase1_apply,requires_record,review_required,record_template_numbers,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-010,manual_v5_candidate_5,5,结构要求,procedure_document,XZTC/CX-01-02-2022,existing_document:b2842580-b2be-41d7-b7c6-12f2de7c55fa,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-011,manual_v5_candidate_5,5,结构要求,procedure_document,XZTC/CX-13-2022,existing_document:f2c5ae01-5460-4db5-b283-820da27c57fd,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-012,manual_v5_candidate_5,5,结构要求,procedure_document,XZTC/CX-32-2022,existing_document:1ecf0642-c1a6-4b52-bfcb-2ae42bf71948,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-013,manual_v5_candidate_5,5,结构要求,record_form_template,JL-5-01,candidate_record_template_after_phase1_apply,requires_record,review_required,record_template_numbers,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-014,manual_v5_candidate_6_1,6.1,资源总则,procedure_document,XZTC/CX-01-02-2022,existing_document:b2842580-b2be-41d7-b7c6-12f2de7c55fa,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-015,manual_v5_candidate_6_1,6.1,资源总则,procedure_document,XZTC/CX-02-2022,existing_document:6d196fbb-0aa9-4cc9-ba75-03983d4658c0,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-016,manual_v5_candidate_6_1,6.1,资源总则,procedure_document,XZTC/CX-03-2022,existing_document:0fa0cbc4-ac88-4707-b251-12f2a19695e1,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-017,manual_v5_candidate_6_1,6.1,资源总则,procedure_document,XZTC/CX-11-2022,existing_document:e4cb301d-027e-43d8-9e84-0632d6fb9999,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-018,manual_v5_candidate_6_1,6.1,资源总则,record_form_template,JL-5-01,candidate_record_template_after_phase1_apply,requires_record,review_required,record_template_numbers,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-019,manual_v5_candidate_6_2,6.2,人员,procedure_document,XZTC/CX-01-02-2022,existing_document:b2842580-b2be-41d7-b7c6-12f2de7c55fa,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-020,manual_v5_candidate_6_2,6.2,人员,procedure_document,XZTC/CX-01-2022,existing_document:3d7a9112-371d-4b94-b8ac-05c5e53cd777,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-021,manual_v5_candidate_6_2,6.2,人员,procedure_document,XZTC/CX-31-2022,existing_document:81588b50-963a-4318-93aa-821ed4bbf6c3,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-022,manual_v5_candidate_6_2,6.2,人员,record_form_template,JL-6.2-01,candidate_record_template_after_phase1_apply,requires_record,review_required,record_template_numbers,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-023,manual_v5_candidate_6_3,6.3,设施环境,procedure_document,XZTC/CX-02-2022,existing_document:6d196fbb-0aa9-4cc9-ba75-03983d4658c0,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-024,manual_v5_candidate_6_3,6.3,设施环境,procedure_document,XZTC/CX-31-2022,existing_document:81588b50-963a-4318-93aa-821ed4bbf6c3,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-025,manual_v5_candidate_6_3,6.3,设施环境,procedure_document,XZTC/CX-33-2022,existing_document:d9dd985e-b3d5-4fc6-ac2d-aa48b82122f2,implements,review_required,procedure_doc_numbers,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
STG2-LINK-026,manual_v5_candidate_6_3,6.3,设施环境,record_form_template,JL-6.3-01,candidate_record_template_after_phase1_apply,requires_record,review_required,record_template_numbers,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,approved,质量负责人；文件管理员；相关过程负责人,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
