review_item_id,review_type,display_name,reviewer_role,current_decision,allowed_decisions,new_human_decision,review_comment,evidence_to_check,blocking_if_unresolved,source_file
CLAUSE-4.1,manual_clause,4.1 公正性,最高管理者/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-4.2,manual_clause,4.2 保密性,最高管理者/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-5,manual_clause,5 结构要求,最高管理者/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-6.1,manual_clause,6.1 资源总则,质量负责人/相关过程负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-6.2,manual_clause,6.2 人员,质量负责人/相关过程负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-6.3,manual_clause,6.3 设施环境,质量负责人/相关过程负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-6.4,manual_clause,6.4 设备,设备管理员/技术负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-6.5,manual_clause,6.5 计量溯源性,设备管理员/技术负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-6.6,manual_clause,6.6 外部产品和服务,质量负责人/相关过程负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-7.1,manual_clause,7.1 合同评审,技术负责人/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
