question_id,topic,question,expected_focus,answer_type,responsible_roles,evidence_reference,confirmation_status,not_real_record
Q-001,质量手册,第五版候选稿目前能否直接替代第四版？,应回答不能；需人工评审、批准、生效、发放、宣贯和旧版作废。,口头确认/书面确认/现场演示均可,质量负责人；文件管理员；相关过程负责人,培训签到、理解确认、问题反馈和回填预览,completed,yes
Q-002,资质状态,手册和培训材料中 CNAS 状态应如何表述？,应回答已取得 CMA，CNAS 申请中；不得写已取得 CNAS。,口头确认/书面确认/现场演示均可,质量负责人；文件管理员；相关过程负责人,培训签到、理解确认、问题反馈和回填预览,completed,yes
Q-003,程序目录,当前程序目录基线是什么？,应回答以 LIMS 当前导出的 2022 程序清单为现行目录。,口头确认/书面确认/现场演示均可,质量负责人；文件管理员；相关过程负责人,培训签到、理解确认、问题反馈和回填预览,completed,yes
Q-004,05-02,XZTC/CX-05-02-2022 当前为什么不能直接当普通程序发布？,应回答其为编号附件/表单归属待判定项，需确认是程序附件、记录模板或其他处置。,口头确认/书面确认/现场演示均可,质量负责人；文件管理员；相关过程负责人,培训签到、理解确认、问题反馈和回填预览,completed,yes
Q-005,记录模板,候选记录模板启用前至少要确认哪些字段问题？,应回答字段含义、必填性、填写责任、复核、保存期限、保密等级和更正规则。,口头确认/书面确认/现场演示均可,质量负责人；文件管理员；相关过程负责人,培训签到、理解确认、问题反馈和回填预览,completed,yes
Q-006,模拟试填,全量试填样表是否可以作为真实运行记录？,应回答不能；带 SIMULATED_TRIAL_NOT_REAL_RECORD 标识。,口头确认/书面确认/现场演示均可,质量负责人；文件管理员；相关过程负责人,培训签到、理解确认、问题反馈和回填预览,completed,yes
Q-007,质量手册修订,XZTC/SC 第五版候选稿为什么不能按新增同编号草稿直接写入？,应回答 LIMS 已存在同编号 published 受控文件，应走既有文件修订/换版路径。,口头确认/书面确认/现场演示均可,质量负责人；文件管理员；相关过程负责人,培训签到、理解确认、问题反馈和回填预览,completed,yes
Q-008,受控发布,文件批准后还需留下哪些发布证据？,应回答审批签核、发放范围、培训宣贯、旧版作废回收、实施有效性检查等。,口头确认/书面确认/现场演示均可,质量负责人；文件管理员；相关过程负责人,培训签到、理解确认、问题反馈和回填预览,completed,yes
Q-009,jewelry-qms,jewelry-qms 当前可否写入质量手册正文作为正式系统？,应回答不能；目前只进入实施计划、试运行和治理准备材料。,口头确认/书面确认/现场演示均可,质量负责人；文件管理员；相关过程负责人,培训签到、理解确认、问题反馈和回填预览,completed,yes
Q-010,LIMS 命令,真实 apply 的前置条件是什么？,应回答需人工评审包全部通过、ack、相关包校验通过和用户明确授权。,口头确认/书面确认/现场演示均可,质量负责人；文件管理员；相关过程负责人,培训签到、理解确认、问题反馈和回填预览,completed,yes
Q-011,电子记录,LIMS/电子记录投入使用前应确认哪些方面？,应回答权限、审计追踪、备份恢复、数据完整性、适用性确认和更正留痕。,口头确认/书面确认/现场演示均可,质量负责人；文件管理员；相关过程负责人,培训签到、理解确认、问题反馈和回填预览,completed,yes
Q-012,问题反馈,发现候选稿或模板问题时应如何回填？,应回答先进入反馈/决策预览，不直接改受控文件或写库。,口头确认/书面确认/现场演示均可,质量负责人；文件管理员；相关过程负责人,培训签到、理解确认、问题反馈和回填预览,completed,yes
