clause,manual_topic,procedure_doc_numbers,attachment_form_doc_numbers,record_template_numbers,lims_governance_point,verification_method,relation_confidence,human_review_required
4.1,公正性,XZTC/CX-07-02-2022；XZTC/CX-07-2022；XZTC/CX-32-2022,,JL-4.1-01,公正性风险清单、承诺记录、措施跟踪,查记录、访谈管理层和检测人员,review_required,yes
4.2,保密性,XZTC/CX-06-2022；XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,,JL-4.2-01,权限、保密承诺、查阅控制,查权限和保密承诺,review_required,yes
5,结构要求,XZTC/CX-01-02-2022；XZTC/CX-13-2022；XZTC/CX-32-2022,,JL-5-01,组织架构、岗位、授权、变更,查任命和授权,review_required,yes
6.1,资源总则,XZTC/CX-01-02-2022；XZTC/CX-02-2022；XZTC/CX-03-2022；XZTC/CX-11-2022,,JL-5-01,资源台账、资源不足风险,抽查资源与活动匹配,review_required,yes
6.2,人员,XZTC/CX-01-02-2022；XZTC/CX-01-2022；XZTC/CX-31-2022,,JL-6.2-01,人员档案、培训、能力、授权,抽查授权人员档案,review_required,yes
6.3,设施环境,XZTC/CX-02-2022；XZTC/CX-31-2022；XZTC/CX-33-2022,,JL-6.3-01,环境监控、异常处置、区域权限,查环境记录和现场,review_required,yes
6.4,设备,XZTC/CX-03-02-2022；XZTC/CX-03-2022；XZTC/CX-04-2022,XZTC/CX-05-02-2022,JL-6.4-01,设备台账、核查、维护、状态,抽查设备档案,review_required,yes
6.5,计量溯源性,XZTC/CX-03-02-2022；XZTC/CX-05-2022,XZTC/CX-05-02-2022,JL-6.5-01,校准证书、溯源确认、使用限制,查证书和确认表,review_required,yes
6.6,外部产品和服务,XZTC/CX-11-2022；XZTC/CX-19-2022；XZTC/CX-32-2022,,JL-6.6-01,供方评价、采购验收,抽查供方档案,review_required,yes
7.1,合同评审,XZTC/CX-08-2022；XZTC/CX-09-2022；XZTC/CX-12-2022,,JL-7.1-01,委托、评审、变更、客户沟通,抽查委托单,review_required,yes
7.2,方法,XZTC/CX-22-2022；XZTC/CX-23-2022；XZTC/CX-24-2022；XZTC/CX-27-2022,,JL-7.2-01,方法库、验证/确认、偏离,查方法验证和偏离,review_required,yes
7.3,抽样,XZTC/CX-09-2022；XZTC/CX-28-2022；XZTC/CX-35-2022,,JL-7.3-01,当前不承担抽样声明、条件启用,查报告声明和合同,review_required,yes
7.4,样品处置,XZTC/CX-06-2022；XZTC/CX-25-2022；XZTC/CX-28-2022,,JL-7.4-01,样品唯一标识、流转、异常,现场抽查样品,review_required,yes
7.5,技术记录,XZTC/CX-19-2022；XZTC/CX-25-2022；XZTC/CX-26-2022,,JL-7.5-01,原始记录、修改留痕、复核,查原始记录,review_required,yes
7.6,测量不确定度,XZTC/CX-22-2022；XZTC/CX-27-2022；XZTC/CX-30-2022,,JL-7.6-01,不确定度评定、符合性声明,抽查报告和评定,review_required,yes
7.7,结果有效性,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-30-2022；XZTC/CX-34-2022,,JL-7.7-01,质控计划、能力验证、比对,查质控数据,review_required,yes
7.8,报告结果,XZTC/CX-06-2022；XZTC/CX-26-2022；XZTC/CX-29-2022,,JL-7.8-01,报告复核、授权签发、修订,抽查报告,review_required,yes
7.9,投诉,XZTC/CX-14-2022；XZTC/CX-15-2022；XZTC/CX-16-2022,,JL-7.9-01,投诉登记、调查、回复、关闭,查投诉记录,review_required,yes
7.10,不符合工作,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-32-2022,,JL-7.10-01,不符合、影响评价、恢复授权,查不符合闭环,review_required,yes
7.11,数据控制与信息管理,XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,,JL-7.11-01,软件/表格确认、权限、备份,查表格确认和备份,review_required,yes
8.1,管理体系方式,XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-20-2022；XZTC/CX-21-2022,,JL-8.8-01；JL-8.9-01,条款对照、体系策划,查条款对照,review_required,yes
8.2,管理体系文件,XZTC/CX-08-2022；XZTC/CX-13-2022；XZTC/CX-19-2022,,JL-8.3-01,文件目录、宣贯、可获得性,查文件清单,review_required,yes
8.3,文件控制,XZTC/CX-08-2022；XZTC/CX-26-2022,,JL-8.3-01,审批、发布、作废、外来文件,查文件生命周期,review_required,yes
8.4,记录控制,XZTC/CX-06-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,,JL-8.4-01,记录归档、借阅、备份、更正,查记录归档,review_required,yes
8.5,风险和机遇,XZTC/CX-17-2022；XZTC/CX-18-2022；XZTC/CX-32-2022,,JL-8.5-01,风险登记、措施、有效性,查风险清单,review_required,yes
8.6,改进,XZTC/CX-12-2022；XZTC/CX-18-2022；XZTC/CX-20-2022；XZTC/CX-21-2022,,JL-8.6-01,改进机会、客户反馈,查改进记录,review_required,yes
8.7,纠正措施,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-20-2022,,JL-8.7-01,CAPA、根因、验证关闭,查纠正措施,review_required,yes
8.8,内部审核,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-19-2022；XZTC/CX-20-2022,,JL-8.8-01,内审计划、发现、整改,查内审包,review_required,yes
8.9,管理评审,XZTC/CX-16-2022；XZTC/CX-19-2022；XZTC/CX-20-2022；XZTC/CX-21-2022,,JL-8.9-01,管评输入、输出、措施跟踪,查管评包,review_required,yes
