release_item_id,source_action,object_type,doc_number,title,source_stage_file,current_status,current_publish,proposed_release_state,release_allowed_now,release_block_reason,required_review_source,training_required,old_version_action,lims_governance_action,qualification_scope_note
REL-001,revision_candidate,candidate_manual,XZTC/SC,质量手册（第五版候选稿）,10-质量手册第五版候选稿.md,draft,0,draft_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,第四版手册经第五版批准生效后作废回收；保留作废版本和修订记录,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-002,reference_existing_current,current_procedure_reference,XZTC/CX-01-2022,人员培训程序,现用文件/程序文件/程序文件2022/01-2022人员培训程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-003,reference_existing_current,current_procedure_reference,XZTC/CX-01-02-2022,人员管理程序,现用文件/程序文件/程序文件2022/01-02-2022人员管理程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-004,reference_existing_current,current_procedure_reference,XZTC/CX-02-2022,设施与环境条件控制和维护程序,现用文件/程序文件/程序文件2022/02-2022设施与环境条件控制和维护程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-005,reference_existing_current,current_procedure_reference,XZTC/CX-03-2022,仪器设备管理程序,现用文件/程序文件/程序文件2022/03-2022仪器设备管理程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-006,reference_existing_current,current_procedure_reference,XZTC/CX-03-02-2022,标准物质管理程序,现用文件/程序文件/程序文件2022/03-02-2022标准物质管理程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-007,reference_existing_current,current_procedure_reference,XZTC/CX-04-2022,仪器设备和标准物质期间核查程序,现用文件/程序文件/程序文件2022/04-2022仪器设备和标准物质期间核查程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-008,reference_existing_current,current_procedure_reference,XZTC/CX-05-2022,实现测量可溯源程序,现用文件/程序文件/程序文件2022/05-2022实现测量可溯源程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-009,reference_existing_current,current_procedure_reference,XZTC/CX-06-2022,保护客户机密信息程序,现用文件/程序文件/程序文件2022/06-2022保护客户机密信息程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-010,reference_existing_current,current_procedure_reference,XZTC/CX-07-2022,确保公正性程序,现用文件/程序文件/程序文件2022/07-2022确保公正性程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
