preview_action,target_table,write_now,company_id,id_policy,document_id_resolution,document_role,doc_number,title,version,source_status,markdown_path,render_status_plan,status_plan,publish_plan,soft_delete_plan,existing_structured_match,existing_structured_status,phase_dependency,review_note
plan_manual_structured_refresh_after_revision,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,quality_manual,XZTC/SC,质量手册（第五版候选稿）,第五版候选稿,draft,10-质量手册第五版候选稿.md,not_rendered,draft,0,0,no,,manual_revision_human_decision_required,"第四版依据、程序目录、抽样、记录证据链和 LIMS 治理边界候选修订。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,dddd5625-7cab-4c49-93e2-42e18f6baddf,existing_document:3d7a9112-371d-4b94-b8ac-05c5e53cd777,procedure,XZTC/CX-01-2022,人员培训程序,2022,current,现用文件/程序文件/程序文件2022/01-2022人员培训程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,d2fb5234-50fc-4ff9-8090-8c9fd06d6a3a,existing_document:b2842580-b2be-41d7-b7c6-12f2de7c55fa,procedure,XZTC/CX-01-02-2022,人员管理程序,2022,current,现用文件/程序文件/程序文件2022/01-02-2022人员管理程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,542ef547-3464-4254-abd2-71e81a24a8de,existing_document:6d196fbb-0aa9-4cc9-ba75-03983d4658c0,procedure,XZTC/CX-02-2022,设施与环境条件控制和维护程序,2022,current,现用文件/程序文件/程序文件2022/02-2022设施与环境条件控制和维护程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,e8ceacf8-0a16-4670-b41f-c2186518d088,existing_document:0fa0cbc4-ac88-4707-b251-12f2a19695e1,procedure,XZTC/CX-03-2022,仪器设备管理程序,2022,current,现用文件/程序文件/程序文件2022/03-2022仪器设备管理程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,edd4a860-a110-4ef3-910d-179ed0e4dc3d,existing_document:ff93caff-76a7-447b-ab69-3a679ea37ad1,procedure,XZTC/CX-03-02-2022,标准物质管理程序,2022,current,现用文件/程序文件/程序文件2022/03-02-2022标准物质管理程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,d77d57bb-9985-45d6-8aba-f23edd2fb569,existing_document:14e16ac2-a083-4d63-b17b-1adb91d5d728,procedure,XZTC/CX-04-2022,仪器设备和标准物质期间核查程序,2022,current,现用文件/程序文件/程序文件2022/04-2022仪器设备和标准物质期间核查程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,353c2938-e3f9-4b02-8162-39ec35494e2f,existing_document:5f2d98aa-c184-4145-b594-f3265da429f4,procedure,XZTC/CX-05-2022,实现测量可溯源程序,2022,current,现用文件/程序文件/程序文件2022/05-2022实现测量可溯源程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,a5472fbe-5337-4cd7-a3de-fefa387f5e88,existing_document:0f711c80-d608-48e4-97a6-5c8f7b559c65,procedure,XZTC/CX-06-2022,保护客户机密信息程序,2022,current,现用文件/程序文件/程序文件2022/06-2022保护客户机密信息程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,0337a57e-9e22-44a8-acd9-f67ba8e2a707,existing_document:1f1a940b-8056-4a43-9e59-ec6554e2efcd,procedure,XZTC/CX-07-2022,确保公正性程序,2022,current,现用文件/程序文件/程序文件2022/07-2022确保公正性程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,e10aa366-c9dc-401d-a076-18f9409783e9,existing_document:e963e5fb-9a5c-4cfe-9215-7fd3ee020ab8,procedure,XZTC/CX-07-02-2022,防止商业贿赂程序,2022,current,现用文件/程序文件/程序文件2022/07-02-2022防止商业贿赂程序.doc,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,6e83656e-708c-4d6e-81c2-d4f27bd38612,existing_document:a12b02c2-21f7-4001-b8ee-4ee9d9567135,procedure,XZTC/CX-08-2022,文件控制程序,2022,current,现用文件/程序文件/程序文件2022/08-2022文件控制程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,260e357d-678f-4fab-8776-2f0d9855ae13,existing_document:c72101fe-e8d6-4bba-bf0b-5a8ca22e8203,procedure,XZTC/CX-09-2022,客户要求、标书、合同评审程序,2022,current,现用文件/程序文件/程序文件2022/09-2022客户要求、标书、合同评审程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,3fee09ec-1739-47a5-8b4c-961f4dfc0bfd,existing_document:e4cb301d-027e-43d8-9e84-0632d6fb9999,procedure,XZTC/CX-11-2022,外部支持服务和供应品管理程序,2022,current,现用文件/程序文件/程序文件2022/11-2022外部支持服务和供应品管理程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,08e16ef1-b48a-4d84-b454-1d0f0c67ff76,existing_document:5b384f91-1fa4-4c2e-9031-6921449cdd6c,procedure,XZTC/CX-12-2022,服务客户程序,2022,current,现用文件/程序文件/程序文件2022/12-2022服务客户程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,84cadf78-650b-40cc-a0a5-e8a3ce2744f0,existing_document:f2c5ae01-5460-4db5-b283-820da27c57fd,procedure,XZTC/CX-13-2022,内部沟通程序,2022,current,现用文件/程序文件/程序文件2022/13-2022内部沟通程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,8a33ff77-0c5b-4606-b229-9f1dd878d314,existing_document:21ecf196-7b6e-43ba-a8c7-4b1841ca0120,procedure,XZTC/CX-14-2022,处理投诉程序,2022,current,现用文件/程序文件/程序文件2022/14-2022处理投诉程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
refresh_existing_structured_reference,qms_structured_documents,no,00000000-0000-0000-0000-000000000001,24d08891-483a-4a17-a73e-73e3af1e17b4,existing_document:019e5a3b-efb8-41b4-a358-3e9ebf48e8a1,procedure,XZTC/CX-15-2022,不符合检测工作管理程序,2022,current,现用文件/程序文件/程序文件2022/15-2022不符合检测工作管理程序.docx,not_rendered,structured,after_human_review,0,yes,structured,existing_document_available,"用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。"
