simulation_field_id,field_task_id,workbook_item_id,return_item_id,pilot_evidence_id,closure_item_id,field_group,missing_field,target_file,target_field,required_input,simulated_input_value,why_required,owner_role,patch_id,source_patch_action,source_block_reason,field_status,blocks_apply,simulated_completion,simulation_marker,not_imported,not_real_record
GCPOCS-F001,GCPOW-001-F01,GCPOW-001,GCPR-001,GCPE-001,GC-0076,pilot_evidence,evidence_reference,governance_closure_workbench/03-证据采集模板.csv,evidence_reference,填写可追溯证据名称、编号、文件路径或会议/培训/评审记录编号。,SIMULATED-EVIDENCE-GCPOW-001-NOT-REAL-RECORD,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,业务受理/技术负责人,GCPSU-001,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
GCPOCS-F002,GCPOW-001-F02,GCPOW-001,GCPR-001,GCPE-001,GC-0076,pilot_evidence,evidence_summary,governance_closure_workbench/03-证据采集模板.csv,evidence_owner,简述证据证明了什么，不得只写“已完成”。,模拟说明：该字段假定已由人工补齐；不代表真实证据已形成。,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,业务受理/技术负责人,GCPSU-002,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
GCPOCS-F003,GCPOW-001-F03,GCPOW-001,GCPR-001,GCPE-001,GC-0076,pilot_evidence,closure_comment,governance_closure_workbench/03-证据采集模板.csv,evidence_date,写明为什么该阻断项可关闭，必要时列出仍需跟踪事项。,模拟意见：该阻断项假定经人工复核可进入回填预览；不代表真实关闭。,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,业务受理/技术负责人,GCPSU-003,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
GCPOCS-F004,GCPOW-001-F04,GCPOW-001,GCPR-001,GCPE-001,GC-0076,pilot_evidence,reviewer,governance_closure_workbench/03-证据采集模板.csv,evidence_result,填写实际复核人或责任岗位确认人。,SIMULATED_REVIEWER_NOT_REAL_REVIEW,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,业务受理/技术负责人,GCPSU-004,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
GCPOCS-F005,GCPOW-001-F05,GCPOW-001,GCPR-001,GCPE-001,GC-0076,pilot_evidence,review_date,governance_closure_workbench/04-拟关闭回填模板.csv,evidence_reference,填写实际复核日期，格式建议 YYYY-MM-DD。,2026-07-07,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,业务受理/技术负责人,GCPSU-005,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
GCPOCS-F006,GCPOW-001-F06,GCPOW-001,GCPR-001,GCPE-001,GC-0076,pilot_evidence,evidence_status,governance_closure_workbench/04-拟关闭回填模板.csv,closure_comment,试点证据真实形成并可追溯后才可由 pending 改为 completed。,completed,试点证据状态必须为 ready 后才可预览回填源工作台。,业务受理/技术负责人,GCPSU-006,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
GCPOCS-F007,GCPOW-001-F07,GCPOW-001,GCPR-001,GCPE-001,GC-0076,pilot_handoff,signature_status,governance_closure_workbench/04-拟关闭回填模板.csv,reviewer,岗位签核完成后才可由 pending 改为 completed。,completed,岗位签核必须 completed 后才可回填源工作台。,业务受理/技术负责人,GCPSU-007,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
GCPOCS-F008,GCPOW-001-F08,GCPOW-001,GCPR-001,GCPE-001,GC-0076,pilot_handoff,handoff_status,governance_closure_workbench/04-拟关闭回填模板.csv,review_date,交接复核完成后才可由 pending 改为 completed。,completed,交接复核必须 completed 后才可回填源工作台。,业务受理/技术负责人,GCPSU-008,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
GCPOCS-F009,GCPOW-001-F09,GCPOW-001,GCPR-001,GCPE-001,GC-0076,pilot_handoff,assigned_person,governance_closure_workbench/04-拟关闭回填模板.csv,proposed_closure_status,填写实际执行人；没有明确人员时不得关闭。,SIMULATED_PERSON_NOT_REAL_EXECUTOR,签核交接完成前必须保留执行人、复核人和完成日期。,业务受理/技术负责人,GCPSU-009,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
GCPOCS-F010,GCPOW-001-F10,GCPOW-001,GCPR-001,GCPE-001,GC-0076,pilot_handoff,reviewer,governance_closure_workbench/04-拟关闭回填模板.csv,closure_result,填写实际复核人或责任岗位确认人。,SIMULATED_REVIEWER_NOT_REAL_REVIEW,签核交接完成前必须保留执行人、复核人和完成日期。,业务受理/技术负责人,GCPSU-010,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
GCPOCS-F011,GCPOW-001-F11,GCPOW-001,GCPR-001,GCPE-001,GC-0076,pilot_handoff,actual_finish_date,governance_closure_workbench/04-拟关闭回填模板.csv,blocks_apply,填写实际完成日期，格式建议 YYYY-MM-DD。,2026-07-07,签核交接完成前必须保留执行人、复核人和完成日期。,业务受理/技术负责人,GCPSU-011,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
GCPOCS-F012,GCPOW-002-F01,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_evidence,evidence_reference,governance_closure_workbench/03-证据采集模板.csv,evidence_reference,填写可追溯证据名称、编号、文件路径或会议/培训/评审记录编号。,SIMULATED-EVIDENCE-GCPOW-002-NOT-REAL-RECORD,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,全体影响检测活动人员,GCPSU-012,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
GCPOCS-F013,GCPOW-002-F02,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_evidence,evidence_summary,governance_closure_workbench/03-证据采集模板.csv,evidence_owner,简述证据证明了什么，不得只写“已完成”。,模拟说明：该字段假定已由人工补齐；不代表真实证据已形成。,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,全体影响检测活动人员,GCPSU-013,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
GCPOCS-F014,GCPOW-002-F03,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_evidence,closure_comment,governance_closure_workbench/03-证据采集模板.csv,evidence_date,写明为什么该阻断项可关闭，必要时列出仍需跟踪事项。,模拟意见：该阻断项假定经人工复核可进入回填预览；不代表真实关闭。,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,全体影响检测活动人员,GCPSU-014,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
GCPOCS-F015,GCPOW-002-F04,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_evidence,reviewer,governance_closure_workbench/03-证据采集模板.csv,evidence_result,填写实际复核人或责任岗位确认人。,SIMULATED_REVIEWER_NOT_REAL_REVIEW,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,全体影响检测活动人员,GCPSU-015,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
GCPOCS-F016,GCPOW-002-F05,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_evidence,review_date,governance_closure_workbench/04-拟关闭回填模板.csv,evidence_reference,填写实际复核日期，格式建议 YYYY-MM-DD。,2026-07-07,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,全体影响检测活动人员,GCPSU-016,blocked_no_update,pilot_return_not_ready,completed,no,yes,SIMULATED_COMPLETION_NOT_REAL_EXECUTION,yes,yes
