target_type,target_code,target_id_resolution,linked_block_count,linked_sections,linked_stable_keys,requires_confirmation,human_decision,review_comment,blocking_if_unresolved,not_imported
attachment_form_document,XZTC/CX-05-02-2022,candidate_document_after_phase1_apply,2,6.4；6.5,manual_v5_candidate_6_4；manual_v5_candidate_6_5,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-01-02-2022,existing_document:b2842580-b2be-41d7-b7c6-12f2de7c55fa,3,5；6.1；6.2,manual_v5_candidate_5；manual_v5_candidate_6_1；manual_v5_candidate_6_2,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-01-2022,existing_document:3d7a9112-371d-4b94-b8ac-05c5e53cd777,1,6.2,manual_v5_candidate_6_2,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-02-2022,existing_document:6d196fbb-0aa9-4cc9-ba75-03983d4658c0,2,6.1；6.3,manual_v5_candidate_6_1；manual_v5_candidate_6_3,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-03-02-2022,existing_document:ff93caff-76a7-447b-ab69-3a679ea37ad1,2,6.4；6.5,manual_v5_candidate_6_4；manual_v5_candidate_6_5,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-03-2022,existing_document:0fa0cbc4-ac88-4707-b251-12f2a19695e1,2,6.1；6.4,manual_v5_candidate_6_1；manual_v5_candidate_6_4,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-04-2022,existing_document:14e16ac2-a083-4d63-b17b-1adb91d5d728,1,6.4,manual_v5_candidate_6_4,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-05-2022,existing_document:5f2d98aa-c184-4145-b594-f3265da429f4,1,6.5,manual_v5_candidate_6_5,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-06-2022,existing_document:0f711c80-d608-48e4-97a6-5c8f7b559c65,4,4.2；7.4；7.8；8.4,manual_v5_candidate_4_2；manual_v5_candidate_7_4；manual_v5_candidate_7_8；manual_v5_candidate_8_4,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-07-02-2022,existing_document:e963e5fb-9a5c-4cfe-9215-7fd3ee020ab8,1,4.1,manual_v5_candidate_4_1,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-07-2022,existing_document:1f1a940b-8056-4a43-9e59-ec6554e2efcd,1,4.1,manual_v5_candidate_4_1,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-08-2022,existing_document:a12b02c2-21f7-4001-b8ee-4ee9d9567135,6,4.2；7.1；7.11；8.1；8.2；8.3,manual_v5_candidate_4_2；manual_v5_candidate_7_1；manual_v5_candidate_7_11；manual_v5_candidate_8_1；manual_v5_candidate_8_2；manual_v5_candidate_8_3,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-09-2022,existing_document:c72101fe-e8d6-4bba-bf0b-5a8ca22e8203,2,7.1；7.3,manual_v5_candidate_7_1；manual_v5_candidate_7_3,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-11-2022,existing_document:e4cb301d-027e-43d8-9e84-0632d6fb9999,2,6.1；6.6,manual_v5_candidate_6_1；manual_v5_candidate_6_6,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-12-2022,existing_document:5b384f91-1fa4-4c2e-9031-6921449cdd6c,2,7.1；8.6,manual_v5_candidate_7_1；manual_v5_candidate_8_6,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-13-2022,existing_document:f2c5ae01-5460-4db5-b283-820da27c57fd,2,5；8.2,manual_v5_candidate_5；manual_v5_candidate_8_2,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-14-2022,existing_document:21ecf196-7b6e-43ba-a8c7-4b1841ca0120,1,7.9,manual_v5_candidate_7_9,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-15-2022,existing_document:019e5a3b-efb8-41b4-a358-3e9ebf48e8a1,5,7.7；7.9；7.10；8.7；8.8,manual_v5_candidate_7_7；manual_v5_candidate_7_9；manual_v5_candidate_7_10；manual_v5_candidate_8_7；manual_v5_candidate_8_8,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-16-2022,existing_document:324a1982-5f65-4c08-b58a-5d3d51b3c313,6,7.7；7.9；7.10；8.7；8.8；8.9,manual_v5_candidate_7_7；manual_v5_candidate_7_9；manual_v5_candidate_7_10；manual_v5_candidate_8_7；manual_v5_candidate_8_8；manual_v5_candidate_8_9,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-17-2022,existing_document:e9b11461-f4e2-4620-a013-ea79c4038120,1,8.5,manual_v5_candidate_8_5,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-18-2022,existing_document:b3f04a33-b9a3-4646-972a-02ea638bbb62,2,8.5；8.6,manual_v5_candidate_8_5；manual_v5_candidate_8_6,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-19-2022,existing_document:08a10a34-01c9-4837-aad7-86290d378669,9,4.2；6.6；7.5；7.11；8.1；8.2；8.4；8.8；8.9,manual_v5_candidate_4_2；manual_v5_candidate_6_6；manual_v5_candidate_7_5；manual_v5_candidate_7_11；manual_v5_candidate_8_1；manual_v5_candidate_8_2；manual_v5_candidate_8_4；manual_v5_candidate_8_8；manual_v5_candidate_8_9,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-20-2022,existing_document:3245dde8-3e65-49a7-a7e8-f2f7d693df78,5,8.1；8.6；8.7；8.8；8.9,manual_v5_candidate_8_1；manual_v5_candidate_8_6；manual_v5_candidate_8_7；manual_v5_candidate_8_8；manual_v5_candidate_8_9,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-21-2022,existing_document:c6c027a5-54ba-4287-b4cd-c9234e7f0f39,3,8.1；8.6；8.9,manual_v5_candidate_8_1；manual_v5_candidate_8_6；manual_v5_candidate_8_9,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-22-2022,existing_document:8dc0fb9b-84e8-43bb-949e-df5a510a7e9e,2,7.2；7.6,manual_v5_candidate_7_2；manual_v5_candidate_7_6,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-23-2022,existing_document:0e897427-0558-4e81-bb1d-37c74dab3a62,1,7.2,manual_v5_candidate_7_2,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-24-2022,existing_document:e61ab76f-4a95-4f38-90ce-0a9c54415e21,1,7.2,manual_v5_candidate_7_2,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-25-2022,existing_document:a28aa4e9-e72b-4c87-9512-47213a41c9ce,2,7.4；7.5,manual_v5_candidate_7_4；manual_v5_candidate_7_5,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-26-2022,existing_document:6d5eeaed-64c1-468c-9034-dc0d0e7c72b7,6,4.2；7.5；7.8；7.11；8.3；8.4,manual_v5_candidate_4_2；manual_v5_candidate_7_5；manual_v5_candidate_7_8；manual_v5_candidate_7_11；manual_v5_candidate_8_3；manual_v5_candidate_8_4,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-27-2022,existing_document:a73a4a76-fefc-4b1f-9038-35644b4967a4,2,7.2；7.6,manual_v5_candidate_7_2；manual_v5_candidate_7_6,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
