状态,依据,条款号,标题,定位,SHA-256,处置说明
insert,"GB/T 27025-2019",4.1.1,公正实施实验室活动,"markdown:GBT 27025-2019《检测和校准实验室能力的通用要求》.md:line-250",b57d1e4f947906f3a63f1f4bdf36f265a9beeab86f4ffb9a5a8c37c06ea26944,当前条款库不存在该要求原子
insert,"GB/T 27025-2019",5.5,组织结构、职责与权限,"markdown:GBT 27025-2019《检测和校准实验室能力的通用要求》.md:line-284",a030bf5fca64f71f2e2ddb884bfd8a75ecfee066b9818637f13a0ae8f9321fc5,当前条款库不存在该要求原子
insert,"GB/T 27025-2019",6.3.2,设施及环境条件要求文件化,"markdown:GBT 27025-2019《检测和校准实验室能力的通用要求》.md:line-354",2e330e8274399a0db4ba9d8318a6ba4b0e69d3650cb930cf224f0b44815c9b85,当前条款库不存在该要求原子
insert,"GB/T 27025-2019",6.3.5,永久控制之外场所的设施环境控制,"markdown:GBT 27025-2019《检测和校准实验室能力的通用要求》.md:line-366",594e2ffcafc36803ed52b79ce4197e94e4ad7eb61df1fbbe383610675020a9bd,当前条款库不存在该要求原子
insert,"GB/T 27025-2019",7.2.1.6,方法开发策划与授权,"markdown:GBT 27025-2019《检测和校准实验室能力的通用要求》.md:line-550",242e7c228a1762145868f516c5f140dfe8cddc32bb104911dd3f16f9970467cb,当前条款库不存在该要求原子
insert,"GB/T 27025-2019",7.7.3,结果有效性监控数据分析,"markdown:GBT 27025-2019《检测和校准实验室能力的通用要求》.md:line-690",4fb4f0f55c560e2d3de7eee75d6f7d3e806f87e597db285b5e0d110e073698ce,当前条款库不存在该要求原子
insert,"GB/T 27025-2019",7.8.2.2,报告信息责任与客户提供信息声明,"markdown:GBT 27025-2019《检测和校准实验室能力的通用要求》.md:line-746",dbfb3a398e13bbb9e7a5dabf3099c49923df17719fe7155b960167c801669e2c,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,4.1.4,实验室应在任何可能发生影响公正性的事件时持续不断的识别风险。,markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-41,92a47f31b077f446991305b4ae67f9f13de5887d16141a667ce66ea0a6963476,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,5.1,"实验室或其母体机构应是法定机构登记注册的可独立承担法律责任的实 体。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-45,cae4bb456cc2263736511d59de435902ebc3516218bbf63f011f5212c60935bc,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,5.2,"实验室的管理层中对实验室活动全面负责的人员可以是一个人，也可以是 由负责不同技术领域的多名技术人员组成的团队。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-55,8d7b3027ec8b6b3d26124fa14457bfa377b7d84afbb3c9c35653282fdb91dcbf,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,5.5a),"当实验室所在的母体机构还从事实验室活动以外的活动时，实验室应说 明母体机构所从事的其他活动与实验室活动之间的关系。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-57,e3ef8bdd0d577d5bd4535b47f0b0511b3278c8fd616ec13c3906ad4c7c5bdf75,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,5.5c),"实验室所设定的文件层级、类型、数量及详略程度应确保实验室活动实 施的一致性和结果的有效性。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-59,2e7ffe57e28687e45d9cceea1d5e8a74d2e68f5de18588cf14a3bd0e4fb7605b,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,6.2.2,"除非法律法规或CNAS 对特定领域的应用要求有其他规定，实验室人员 应满足以下要求：",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-67,f345397f9503ec2487b5d9d952ec7089a8a228b4218fb2af94c783700a33988c,当前条款库不存在该要求原子
